text,translation
"Selected tiles are ",
high-medium priority.,선택한 타일은 중상 우선순위로 설정됩니다。
"medium priority. ",선택한 타일은 중간 우선순위로 설정됩니다。
medium-low priority.,선택한 타일은 중하 우선순위로 설정됩니다。
[DEFAULT],　　　　[기본 설정]
"Change to ",블루프린트 전용 모드로 전환합니다。
blueprint-only mode.,
"Change to standard dig ",표준 파기 모드로 전환합니다。
mode.,
"Change blueprints to ",블루프린트를 표준 선택 모드로 전환합니다。
standard selections.,
"Change standard ","표준 선택을 "
"selections to ",블루프린트 모드로 전환합니다。
blueprints.,
"Finish setting dig ",파기 설정을 마칩니다
"Finish setting tree ",나무 벌목 작업 설정을 마칩니다
chopping orders.,
"orders.  Select the ",나무꾼이 도달할 수 있도록 나무의 밑동을 선택해
"base of the tree so ",주세요。나무꾼이 없다면，
"that the woodcutter can ","작업 목록에서 나무꾼을 지정해 "
"reach it.  Assign a ",이 작업을 수행하게 하세요。
"woodcutter to the work ",나무꾼은 작업을 시작하려면 도끼가 필요합니다。
"The woodcutter requires ",
an axe.,
"Finish setting plant ",식물 채집 작업 설정을 마칩니다
gathering orders.,
"Finish setting wall ",벽 명령 설정을 마칩니다
"Smooth a rough wall to ","거친 벽을 매끈하게 다듬어，주민들이 "
"make it more pleasing ","더 만족하도록 합니다。또한 벽에 새기거나 "
"to your citizens.  This ",총안을 파기 위한 준비가 됩니다。
"also prepares the wall ",
"for engraving or ",
fortification.,
"Engrave artwork into a ",매끄러운 벽에 예술 작품을 새깁니다。
smooth wall.,
"Carve a track in a ",석제 바닥에 궤도를 새겨，
"stone floor.  Tracks ",운반 메뉴에서 경로가 설정된 광차에 사용합니다。
"are used by minecarts ",
"with routes set in the ",
hauling menu.,
"Carve a gap in a smooth ",매끄러운 벽에 총안을 파서，
"wall to allow your ",궁수들이 적에게 사격할 수 있게 합니다。
"archers to fire upon ",
invaders.,
"Finish removing mining ",채굴 등 명령 제거를 마칩니다。
etc. orders.,
"Finish placing ",
structures.,구조물 배치를 끝냅니다。
"These workshops are ",이 공방들은 염색과 직조를 포함하여
"used in the ",무두질한 가죽을 사용하는 등 의류 제작
"clothesmaking process, ",공정에 사용됩니다。
"whether dyeing and ",
"weaving or using tanned ",
hides.,
"Use leather tanned at ",여기서 무두질 공방에서 무두질한 가죽을 사용해
"the tanner's shop here ",의복과 도구(예를 들어 가방과 물주머니)를 만듭니다。
"to make clothing and ",
"tools, such as bags and ",
waterskins.,
"Here you can turn ",여기서 실을 천으로 짤 수 있습니다，농업 공방에서 온
"thread into cloth, ",실이든，또는 지하에서 모은
"whether it is thread ",거미줄이든 가능합니다。
"from the farmer's ",
"workshop or spider silk ",
gathered underground.,
"Make cloth into ",여기서 천을 의복과 도구(예를 들어
"clothing and tools ",가방과 밧줄)로 만듭니다。
"here, such as bags and ",
ropes.,
"Use dyes here to color ",여기서 염료로 실과 천을 염색합니다。
"thread and cloth.  ",건설하려면 통과 양동이가 필요합니다。
"Requires a barrel and ",
bucket for construction.,
"A wide variety of ",이 분류에는 음식과 음료와 관련된 다양한
"food-and-drink-related ",공방이 포함됩니다。
"workshops can be found ",
in this category.,
"Plant crops at the ",농경지에서 작물을 심습니다。씨앗이나
"farmplot.  You will ",포자가 필요하며，계절에 맞춰 작물을 선택해야 합니다。
"need seeds or spawn and ",작물은 칼륨비료로 비료를 줄 수 있습니다。지하 깊은 곳의
"must select crops by ",토양이 더 비옥합니다。
"season.  Crops can be ",
"fertilized with potash. ",
"Soil is richer deeper ",
underground.,
"Brew alcohol from ",식물、과일 또는 꿀로 알코올 음
"plants, fruit, or honey.",료를 양조합니다。
"Slaughter livestock ",여기서 가축을 도축하여 고기、생가죽、
"here in order to obtain ",뼈와 기타 동물 제품을 얻습니다。
"meat, hides, bones, and ",
other animal products.,
"Make leather from ",여기서 동물 생가죽을 가죽으로 만듭니다。또한
"animal hides here.  You ",석회유와 생가죽으로 양피지를 만들 수도 있습니다。
"can also make parchment ",
"using milk of lime and ",
a hide.,
"Process raw fish into ",여기서 날생선을 가공해 먹을 수 있는 음식으로 만듭니다。
"edible food here.  Raw ",가공되지 않은 생선은 먹지 않습니다。
fish will not be eaten.,
"Cook meals here.  You ","여기에서 식사를 조리합니다。또한 지방을 "
"can also render fat ",녹여 동물성 유지로 만들 수 있습니다。
into tallow.,
"Process plants and work ",여기에서 식물을 가공하고 가축을 돌봅니다。젖을 짜고、
"with livestock here.  ","털을 깎고、치즈를 만들며、털뭉치를 "
"Milk and shear animals, ",실로 잣습니다。
"make cheese, and spin ",
thread.,
"Make sugar, flour, and ","여기에서 설탕、밀가루와 다양한 유용한 "
"various useful slurries ","반죽을 만듭니다。동력 맷돌과 비교하면，작업이 "
"here.  Tasks are ",완료되는 속도가 매우 느립니다。
"completed very slowly ",
"compared to the powered ",
millstone.,
"Capture and train small ","여기에서 작은 동물을 포획하고 훈련합니다。동물 "
"animals here.  Requires ",덫이 필요합니다。
animal traps.,
"When placed, a female ","설치하면，사용 가능한 암컷 새가 있다면，그 새가 "
"bird will claim the box ",상자를 차지하고 알을 낳기 시작합니다。
"and start laying eggs, ",
if one is available.,
"Keep a colony of ","벌통에서 벌 군락을 기릅니다。벌통을 설치한 뒤에는 반드시 "
"insects at your hives.  ","야생 벌 군락을 수집해야 하며，또는 기존 "
"A wild colony must be ",벌통의 벌 군락에서 분봉할 수도 있습니다。
"collected after the ",
"hive is placed, or a ",
"colony can be split ",
"from an existing hive ",
colony.,
"Furnaces are used for ","용광로는 제련、유리 제작、도자기 "
"smelting, glassmaking, ","제작、재 만들기，또는 목재나 원탄에서 연료를 "
"pottery, ashmaking, or ",만드는 데 사용됩니다。용광로는 연료가 있어야 작동하며，
"to make fuel from wood ","일부는 연료를 대신해 마그마 위에 설치해야 "
"or raw coal.  Furnaces ",합니다。
"require fuel to ",
"function, or they can ",
be set above magma.,
"Bake clay objects here, ","여기에서 점토 제품과 그 밖의 몇 가지 "
"as well as a few other ",유용한 재료도 구워 냅니다。점토 수집 구역이 있다면，
"useful materials.  Clay ",여기에서 점토를 수집할 수도 있습니다。
"can also be collected ",
"here if you have a clay ",
"collection zone.  All ",
"tasks require fuel ","점토 수집을 제외한 모든 작업에는 "
"aside from clay ",연료가 필요합니다。
collection.,
"You can make a variety ","세 가지 서로 다른 종류의 유리를 사용해 "
"of objects using three ","다양한 물품을 만들 수 있습니다。모래 수집 "
"different types of ","구역이며，여기서 작업을 시작하면 가방을 사용해 "
"glass.  You can also ",모래를 수집할 수도 있습니다。
"collect sand in bags ",
"from a task originating ",
"here, if you have a ",
"sand collection zone.  ",
"Glassmaking requires ",유리 제작에는 연료가 필요합니다。
fuel.,
"Magma below the furnace ",용광로 아래의 마그마가 작업에 동
"will power tasks.  You ",력을 공급합니다。 용광로를 마그
"are responsible for ",마 위에 배치해야 하지만，그 외의 연료는 필요하지 않습니다。
"placing the furnace ",
"above the magma, but no ",
other fuel is required.,
"collection zone.  Magma ",가마 아래의 마그마가 작업에 동
"below the kiln will ",력을 공급합니다。 가마를 마그
"power tasks.  You are ",마 위에 배치해야 하지만，그 외의 연료는 필요하지 않습니다。
"responsible for placing ",
"the kiln above the ",
"magma, but no other ",
fuel is required.,
"Magma below the smelter ",제련로 아래의 마그마가 작업에 동
"placing the smelter ",
"Make metal bars from ","여기서 광석을 금속괴로 만듭니다。또한 "
"ore here.  Can also ",석탄을 정제해 사용할 수 있는 연료로 만들거나 합금을 만들 수 있습니다。
"refine coal into usable ",모든 작업에는 연료가 필요합니다。
"fuel or make alloys.  ",
All tasks require fuel.,
"Make charcoal and ash ",여기서 목재를 목탄과 재로 만듭니다。
"from wood here.  Does ",연료가 필요하지 않습니다。
not require fuel.,
"Used to make lye, ",잿물、포타시、석회유를 만드는 데 사용합니다。
"potash, and milk of ","건설에는 블록 1개、통 1개、그리고 "
"lime.  Construction ",양동이 1개가 필요합니다。
"requires blocks, ",
"barrel, and a bucket.",
"Make crossbows here ",여기서 목재나 뼈로 석궁을 만듭니다。
"from wood or bone.  The ","금속세공소의 대장간은 금속 석궁과 "
"metalsmith's forge can ","금속 볼트를 만들 수 있으며，공예 작업장은 "
"be used for metal ",다른 볼트를 만드는 데 사용됩니다。
"crossbows and metal ",
"bolts, and the crafts ",
"workshop is used to ",
make other bolts.,
"Make beds and various ",여기서 침대와 다양한 가구를 만들고，보관
"furniture here, as well ",함、통 등도 제작합니다。
"as bins, barrels, and ",
"Make crafts for trade ","여기서 무역용과 주민들이 사용할 "
"and your own citizens ",공예품을 만들고，다양한 도구、
"here, as well as a ",갑옷과 볼트를 제작합니다。
"variety of tools, ",
"armor, and bolts.",
"Cut rough gems here to ",여기서 거친 보석을 절단하여 가치를 높이고， 그
"increase their value, ",리고 세공한 보석을 박아 넣어 다
"and improve the value ",른 물건의 가치도 높일 수 있습니다。
"of other objects by ",
"encrusting them with ",
cut gems.,
"Forge weapons and armor ","여기서 무기와 방어구를 단조하며, 대다"
"here, as well as most ",수의 다른 금속 물품（가구부터 함정부
"other metal objects ",품까지）도 만듭니다。
"from furniture to trap ",
"components.  Magma ",단조장 아래의 마그마가 작업에 동
"below the forge will ",력을 제공합니다。단조장을 마그마 위에 배치해야 합니다
"the forge above the ",
"Make mechanisms here ","여기서 레버, 압력판"
"which are used to make ",과 기어를 만드는 데 쓰이는 기계장치를 제작합니다。또한 기계장치를 사용
"levers, pressure ",하여 레버와 압력판을 다른 기계
"plates, and gears.  You ",와 연결할 수 있습니다。
"can also use mechanisms ",
"to link levers and ",
"pressure plates to ",
other machinery.,
"components.  These ",
tasks require fuel.,이 작업에는 연료가 필요합니다。
"A useful workshop for ","액체를 짜내는 데 유용한 공방으로, 다양한 원"
"pressing liquids from ",료에서 액체를 짜낼 수 있습니다。일부 식물은 사
"various sources. Some ",용하기 전에 먼저 빻아야 할 수도 있습니다。액체 제품을 저장하려면 빈 항아리가 필
"plants might need to be ",요합니다。
"milled first before ",
"they can be used.  ",
"Empty jugs are required ",
"to store the liquid ",
products.,
"Here you can make parts ",여기서 발리스타와 투석기 부
"for ballistae and ",품을 만들 수 있습니다。이 공방은 발리스타 탄약을 조립하는 곳이기
"catapults.  This ",도 합니다。
"workshop is also the ",
"place where ballista ",
ammo is assembled.,
"Use tallow (rendered ",여기서 탤로（정제한 지방）또
"fat) or oil here with ",는 기름을 잿물과 함께 사용해 비누를 만듭니다。
lye to make soap.,
"Make stone furniture ","여기서 석재 가구를 만들고, 건"
"here, as well as blocks ",축에 쓰이는 블록도 만듭니다。
"which are used in ",
constructions.,
"Use options in this ",이 분류의 옵션을 사용해 공방에서 이미 제작
"category to place ",한 가구를 배치합니다。
"furniture that has ",
"already been ",
"constructed in a ",
workshop.,
"Your citizens need a ",주민들에게는 편안한 수면 공간
"comfortable place to ",이 필요합니다. 침대 물품은 목수 작업장에서 완성
"sleep.  A bed object ",된 뒤에야 배치할 수 있습니다.
"must be made at the ",
"carpenter's shop before ",
it can be placed.,
"Chairs are required for ",의자는 사무실 운영에 필수이며
"offices to function, ",테이블 옆에 의자를 두는 것이 선호되는 식사 배치입니다.
"and a chair next to a ",의자/왕좌 물품은 먼저 제작되어야
"table is the preferred ",배치할 수 있습니다.
"dining arrangement.  A ",
"chair/throne object ",
"must be made before it ",
can be placed.,
"Tables are required for ",식사에는 테이블이 필수입니다. 테이블
"dining.  A chair should "," 옆에 의자를 배치해야 합니다. 테이블 물품은 먼저 제"
"be placed adjacent to ",작되어야 배치할 수 있습니다.
"the table.  A table ",
"object must be made ",
before it can be placed.,
"Chests and coffers are ",상자와 금고는 개인 침실에서
"used in personal "," 의류가 아닌 물품을 보관하는 데 사용됩니다. 이들은 일부 구역"
"bedrooms for storing "," 기반 장소(예: 주점, 병원과"
"non-clothing objects.  "," 도서관)에서 유용한 재료를 보관하는 데도 쓰입니다. 상자류"
"They are also used in ",
"some zone-based ",
"locations like taverns, ",
"hospitals, and ",
"libraries for storing ",
"useful materials.  A ",
"box object must be made ",
"Cabinets are used in ",캐비닛은 개인 침실에서 의복을 보관하는 데 사용됩니다.
"personal bedrooms for ",캐비닛 물품은 먼저 제작되어야 배치할 수 있습니다.
"storing clothing ",
"objects.  A cabinet ",
"The dead are buried in ",고인은 관에 매장됩니다. 관은 반드시
"coffins.  Coffins must "," 지정된 묘 구역에 배치되어야만"
"be placed in their own "," 효력이 있습니다. 관 물품은 먼저 제작되어야"
"tomb zone in order to "," 배치할 수 있습니다."
"work.  A coffin object ",
"Citizens that cannot be ",적절히 매장될 수 없는 주민은 여전히 석
"buried properly can ",비를 통해 추모할 수 있습니다. 석비는 석공 작업장에서 제작하고
"still be memorialized "," 조각합니다."
"on slabs.  Slabs are ",
"created and engraved at ",
the stoneworker's shop.,
"Statues can be used to ",조각상은 당신의 요새를 장식하고 당신에게
"decorate your fortress ","방에 가치를 더합니다. 조각상 물품은 "
"and add value to your ",반드시 해당 작업장에서 먼저 제작해야 합니다.
"rooms.  A statue object ",
"must be made at an ",
"appropriate workshop ",
first.,
"Certain injuries such ","일부 부상(예: 중첩 골절)은 "
"as overlapping ",견인대 같은 고급 의료 장치로 치료해야 합니다.
"fractures require ",견인대 물품은 먼저 제작해야만 배치할 수 있습니다.
"advanced medical ",
"contraptions like the ",
"traction bench for ",
"treatment.  A traction ",
"bench object must be ",
"made before it can be ",
placed.,
"Codices and scrolls in ","도서관의 사본과 두루마리는 "
"your library can be ",책장에 보관할 수 있습니다. 책장 물품은 먼저 제작
"stored in bookcases.  A ",해야만 배치할 수 있습니다.
"bookcase object must be ",
"Your most valuable ","가장 귀중한 물품을 방에 "
"objects can be placed ","전시해 가치를 높이고 지나가는 "
"for display in rooms to ","주민들이 감상할 수 있게 합니다. 받침대나 진열장은 "
"increase their value ",반드시 먼저 제작해야만 배치할 수 있습니다.
"and to entertain ",
"passing citizens.  A ",
"pedestal or display ",
"case must be made ",
"These ornamental ","이 장식용 물품은 놓인 방의 "
"objects increase the ",가치를 높입니다. 봉헌 장소 물품은 반드시 먼저 제작
"value of rooms in which ",해야만 배치할 수 있습니다.
"they are placed.  An ",
"offering place object ",
"Large instruments must ","대형 악기는 주점이나 신전에 배치해야만 "
"be placed in taverns or ","사용됩니다. 이 악기들은 먼저 "
"temples before they ",작업장에서 조립을 마쳐야 합니다.
"will be used.  These ",
"instruments must be ",
"assembled at a workshop ",
"Place doors and hatches ","해당 작업장에서 문과 함정문을 제작한 "
"here after you have ",후 여기에서 배치하십시오.
"constructed them in an ",
appropriate workshop.,
"Doors can be used along ","문은 벽과 함께 사용해 방을 닫을 수 있으며, "
"with walls to enclose ","이는 여러 기능 구역을 한 번에 배치할 때 특히 "
"rooms, which is ","중요합니다. 문은 비활성화하거나 지렛대에 연결하여 "
"especially important ",요새 내 통행을 제어할 수 있습니다.
"when placing multiple ",
"zones at once.  Doors ",
"can also be forbidden ",
"or attached to levers ",
"to control movement in ",
the fort.,
"Hatches can be placed ",해치 덮개는 계단통 상단이나 경사로
"at the tops of ","위에 설치할 수 있으며, 금지되었거나 레버에 연결되어 있을"
"stairwells or above ",때 요새 내부의 통행을 제어하는 데 사용합니다.
"ramps to control ",
"movement in the fort ",
"when they are forbidden ",
or attached to levers.,
"Most terrain-altering ",지형을 변경하는 대부분의 건설물은
"constructions can be ","여기에서 찾을 수 있으며, 벽과 바닥부터"
"found here, from walls ","다리, 경사로, 계단 등까지 포함됩니다."
"and floors to bridges, ",
"ramps, stairs, and more.",
"More complicated ",더 복잡한 건물도 여기 있습니다. 우물부터
"buildings from wells to ","동력 기계 부품, 레버, 수문까지요."
"powered machine ",
"components to levers ",
"and floodgates are ",
found here.,
"Cages, ropes, and ","우리, 밧줄, 동물 함정은 여기 있습니다."
"animal traps are found ",우리는 우리 함정에 쓰거나 대형
"here.  Cages can be ",동물을 운반하는 데 사용할 수 있습니다. 금속 우리와 사슬은 사법
"used in cage traps or ",체계에도 사용됩니다.
"to transport large ",
"animals.  Metal cages ",
"and chains are also ",
"used by the justice ",
system.,
"Various mechanical ",다양한 기계식 함정은 여기에서 찾을 수 있습니다.
"traps can be found ","압력판도 여기 있으며, 그 용도는"
"here.  The pressure ",함정에만 국한되지 않습니다.
"plate is also found ",
"here, which has ",
"applications beyond ",
traps.,
"Archery targets, siege ","과녁, 공성 무기, 그리고 일부 장식용 전시"
"weapons, and some ",품은 이 분류에서 찾을 수 있습니다.
"ornamental display ",
"items can be found in ",
this category.,
wood.,
"Pressure plates, like ","압력판은 레버와 비슷하며, 기계,"
"levers, are used with ","문, 수문, 다리, 우리 및 기타 구조물과"
"machines, doors, ",함께 사용되어 그 상태를 바꿉니다. 압
"floodgates, bridges, ","력판의 트리거는 생물의 무게,"
"cages, and other ",유체 또는 광차의 통과에 따라 설정할 수 있습니다.
"structures to change ",
"are used with ",
"their state.  The ",
"trigger for pressure ",
"plates can be set by ",
"creature weight, fluid, ",
or minecart passage.,
"Stone-fall traps drop a ",낙석 함정은 침입자에게 바위를 떨어뜨립니다。반드
"stone on intruders.  ",시 바위를 장전해야 합니다。
"Must be loaded with ",
boulders.,
"Weapon traps use a ",무기 함정은 무기나 함정 부품을 사용해 침입자를 공
"weapon or trap ",격합니다。원거리 무기와 함께 사
"component to strike ",용할 수 있으며 탄약을 장전할 수 있습니다。한 번에 여
"intruders.  Can be used ",러 무기를 동시에 사용할 수 있습니다。
"with ranged weapons and ",
"loaded with ammo.  Can ",
"use multiple weapons at ",
once.,
"Cage traps capture ",우리 함정은 침입자를 우리에 가둡니다。
"intruders in cages.  ",반드시 우리 하나를 장전해야 합니다。
"Must be loaded with a ",
cage.,
"Upright weapons are a ",직립 가시는 침입자가 떨어지기엔 위험한 장
"nasty place for ",소입니다。또한 레버나 압력판에 연결할 수도 있으며，
"intruders to fall upon. ",이를 들어 올려 침입자를 찌를 수 있습니다。
"Can also be linked to ",
"levers or pressure ",
"plates to raise them ",
into intruders.,
"Archery targets are ",과녁은 양궁장 구역에서 궁수를 훈련시키는 데 사용됩니다。
"used in archery range ",
"zones for training ",
archers.,
"Ornamental.  Demanded ",장식품입니다。일부 귀족이 요구합니다。
by some nobles.,
"A ballista fires a ",발리스타는 고정된 방향으로 발리스타 화살을 발사합니다。
"ballista arrow in a ",조작자는 원뿔형 범위 안에서
"fixed direction.  The ",자유롭게 조준을 조절할 수 있습니다。
"operator can adjust the ",
"aim freely within a ",
cone.,
"A catapult fires a ",투석기는 고정된 방향으로 바위를 발사합니다。
"boulder in a fixed ",조작자는 원뿔형 범위 안에서
"direction.  The ",자유롭게 조준을 조절할 수 있습니다。
"A bolt thrower fires a ",볼트 투척기는 일반 볼
"regular bolts rapidly.  ",트를 빠르게 발사합니다。조작자는 인접한 사용 가능한 타
"The operator swivels ",일에서 기계를 회전시킵니다。
"the machine from any ",
"available adjacent ",
tiles.,
"Start painting a new ",새로운 저장 구역을 그리기 시작합니다。타일을 선택
"stockpile.  Once the ",후에는 자세한 내용을 설정할 수 있습니다。
"tiles are chosen, ",
"you'll be able to set ",
the details.,
"Erase a portion of this ",여기 있는 저장구역의 일부를 지웁니다。
stockpile.,
"Remove the stockpile ",지정 중인 저장구역을 영구적으로 제거합니다。동
"being painted ",시에 기존 구역도 제거합니다！
"permanently.  Also ",
stockpiles.,저장구역 배치를 끝냅니다。
removes existing zones!,
Finish placing zones.,구역 배치를 끝냅니다。
"Finish establishing ",활동구역 지정을 끝냅니다。
burrows.,
"Finish setting hauling ",운반 경로 설정을 끝냅니다。
routes.,
"Finish setting traffic ",통행 구역 설정을 끝냅니다。
areas.,
"Set a high traffic ",고통행 구역을 설정합니다。넓은0
"area.  Use this in wide ",주요 통로에서는 이 설정을 사용합니다。
central passages.,
"Set a normal traffic ",일반 통행 구역을 설정합니다，이는 기본 상
"area, the default state.",태입니다。
"Set a low traffic area. ",저통행 구역을 설정합니다。주민들은 더 나은 경로를 찾
"Citizens will look for ",을 것입니다。
better routes.,
"Set a restricted ",제한 통행 구역을 설정합니다。주민들은 더 나은 경로를 찾기 위해 최선을 다
"traffic area.  Citizens ",할 것입니다。만약 다른 경로가0
"will look hard for ",없거나 너무 길다면，그래도 그0
"better routes.  They ",구역을 사용합니다。
"will still use the area ",
"if other routes do not ",
exist or are too long.,
"Finish setting ",물품/건물 지정을 끝냅니다。
"item/building ",
designations.,
"Claim a forbidden item ",금지된 물품이나 건물을 소유로 지정하여，
"or building so it will ",주민들이 그것을 사용할 수 있게 합니다。
"be used by your ",
citizens.,
"Forbid your citizens ",주민들이 어떤 물품이나 건
"from using an item or ",물을 사용하지 못하게 금지합니다。
building.,
"Designate an item for ",
"dumping in a dumping ",물품을 투기 구역에 버리도록 지정합니다。
zone.,
"Remove dumping ",투기 지정을 제거합니다。
melting at any smelter.,물품을 어떤 제련로에서든 용해하도록 지정합니다。
"Remove melting ",용해 지정을 제거합니다。
"Remove hidden ",숨김 지정을 제거합니다。
"Hide an item or ",시야에서 아이템 또는 건
"building from your ",물을 숨깁니다. 주민들은 여전히 이를 사용합니다.
"view.  Citizens will ",
still use it.,
"   * Requires wild colony or","   *야생 벌 군체 또는"
"   * Existing hive","   *기존 벌통"
Gather any products,모든 생산품을 수집
"   * Destroys colony","   *군체를 파괴함"
"   * Requires a jug","   *항아리 필요"
"   * Saves colony for split","   *분봉을 위해 군체를 보존함"
No outdoor access,야외로 통하는 경로 없음
