id,table,text,translation
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:SWIM,Slow Swim,느리게 헤엄치기
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:SWIM,Creeping Swim,기어가듯 헤엄치기
CREATURE:TOAD_MAN,CREATURE:NAME:SINGULAR,toad man,두꺼비 인간
CREATURE:TOAD_MAN,CREATURE:NAME:PLURAL,toad men,두꺼비 인간
CREATURE:TOAD_MAN,CREATURE:NAME:ADJECTIVE,toad man,두꺼비 인간
CREATURE:TOAD_MAN,CREATURE:PREFSTRING,beauty,아름다움
CREATURE:TOAD_MAN,CREATURE:INTERACTION:NAME,Pet animal,동물 쓰다듬기
CREATURE:TOAD_MAN,CREATURE:INTERACTION:VERB:SELF,pet,쓰다듬는다
CREATURE:TOAD_MAN,CREATURE:INTERACTION:VERB:OTHER,pets,쓰다듬는다
CREATURE:TOAD_MAN,CREATURE:INTERACTION:VERB:MUTUAL,pets,서로 쓰다듬는다
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:DESCRIPTION,A dark green man with the distinct head of a toad.,짙은 초록색의 인간형 생물로，뚜렷한 두꺼비 머리를 가지고 있다。
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:ATTACK:SECOND,punch,때린다
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:ATTACK:THIRD,punches,때린다
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:ATTACK:SECOND,kick,찬다
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:ATTACK:THIRD,kicks,찬다
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:ATTACK:SECOND,bite,문다
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:ATTACK:THIRD,bites,문다
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:TLCM:SINGULAR,skin,피부
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:TLCM:PLURAL,eyes,눈
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Sprint,전력 질주
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Run,달리기
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Jog,조깅
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Walk,걷기
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Stroll,산책
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Creep,살금살금 걷기
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Scramble,기어오르기
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Faster Climb,더 빠른 오르기
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Fast Climb,빠른 오르기
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Climb,오르기
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Slow Climb,느린 오르기
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Creep,달라붙어 오르기
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:SWIM,Maximum Swim Speed,최대 수영 속도
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:SWIM,Faster Swim,더 빠른 수영
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:SWIM,Fast Swim,빠른 수영
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:SWIM,Swim,수영
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:SWIM,Slow Swim,느린 수영
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:SWIM,Creeping Swim,유영
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Scramble,기어가기
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Faster Crawl,더 빠른 포복
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Fast Crawl,빠른 포복
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Crawl,포복
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Slow Crawl,느린 포복
CREATURE:TOAD_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Creep,기어다님
CREATURE:TOAD_MAN:FEMALE,CREATURE:CASTE:NAME:SINGULAR,toad woman,암컷 두꺼비 인간
CREATURE:TOAD_MAN:FEMALE,CREATURE:CASTE:NAME:PLURAL,toad women,암컷 두꺼비 인간
CREATURE:TOAD_MAN:FEMALE,CREATURE:CASTE:NAME:ADJECTIVE,toad woman,암컷 두꺼비 인간
CREATURE:TOAD_MAN:MALE,CREATURE:CASTE:NAME:SINGULAR,toad man,수컷 두꺼비 인간
CREATURE:TOAD_MAN:MALE,CREATURE:CASTE:NAME:PLURAL,toad men,수컷 두꺼비 인간
CREATURE:TOAD_MAN:MALE,CREATURE:CASTE:NAME:ADJECTIVE,toad man,수컷 두꺼비 인간
CREATURE:GIANT_TOAD,CREATURE:NAME:SINGULAR,giant toad,거대 두꺼비
CREATURE:GIANT_TOAD,CREATURE:NAME:PLURAL,giant toads,거대 두꺼비
CREATURE:GIANT_TOAD,CREATURE:NAME:ADJECTIVE,giant toad,거대 두꺼비
CREATURE:GIANT_TOAD,CREATURE:PREFSTRING,beauty,아름다움
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:NAME:SINGULAR,giant toad,거대 두꺼비
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:NAME:PLURAL,giant toads,거대 두꺼비
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:NAME:ADJECTIVE,giant toad,거대 두꺼비
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:DESCRIPTION,A huge monster in the shape of a toad.,"거대한 괴물로, 두꺼비처럼 생겼다."
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:ATTACK:SECOND,bite,문다
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:ATTACK:THIRD,bites,문다
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:TLCM:SINGULAR,skin,피부
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:TLCM:PLURAL,eyes,눈
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:WALK,Scramble,기어가기
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:WALK,Faster Crawl,더 빠른 포복
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:WALK,Fast Crawl,빠른 포복
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:WALK,Crawl,포복
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:WALK,Slow Crawl,느린 포복
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:WALK,Creep,살금살금 걷기
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:CRAWL,Scramble,기어가기
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:CRAWL,Faster Crawl,더 빠른 포복
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:CRAWL,Fast Crawl,빠른 포복
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:CRAWL,Crawl,포복
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:CRAWL,Slow Crawl,느린 포복
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:CRAWL,Creep,느릿느릿 기어가기
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:SWIM,Maximum Swim Speed,최대 수영 속도
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:SWIM,Faster Swim,가속 수영
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:SWIM,Fast Swim,빠른 수영
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:SWIM,Swim,수영
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:SWIM,Slow Swim,느린 수영
CREATURE:GIANT_TOAD:ALL,CREATURE:CASTE:GAIT:SWIM,Creeping Swim,유영
CREATURE:WORM,CREATURE:NAME:SINGULAR,worm,지렁이
CREATURE:WORM,CREATURE:NAME:PLURAL,worms,지렁이들
CREATURE:WORM,CREATURE:NAME:ADJECTIVE,worm,지렁이
CREATURE:WORM,CREATURE:PREFSTRING,wriggling,꿈틀거리는
CREATURE:WORM:ALL,CREATURE:CASTE:NAME:SINGULAR,worm,지렁이
CREATURE:WORM:ALL,CREATURE:CASTE:NAME:PLURAL,worms,지렁이들
CREATURE:WORM:ALL,CREATURE:CASTE:NAME:ADJECTIVE,worm,지렁이
CREATURE:WORM:ALL,CREATURE:CASTE:DESCRIPTION,"A tiny burrowing creature, found in moist soil.  It is legless, long and thin.","습한 흙에서 사는 아주 작은 굴파는 생물로, 몸이 길고 가늘며 다리가 없다."
CREATURE:WORM:ALL,CREATURE:CASTE:TLCM:SINGULAR,skin,피부
CREATURE:WORM:ALL,CREATURE:CASTE:GAIT:WALK,Crawl,포복
CREATURE:WORM:ALL,CREATURE:CASTE:GAIT:CRAWL,Crawl,포복
CREATURE:WORM_MAN,CREATURE:NAME:SINGULAR,worm man,지렁이 인간
CREATURE:WORM_MAN,CREATURE:NAME:PLURAL,worm men,지렁이 인간들
CREATURE:WORM_MAN,CREATURE:NAME:ADJECTIVE,worm man,지렁이 인간
CREATURE:WORM_MAN,CREATURE:PREFSTRING,wriggling,꿈틀거리는
CREATURE:WORM_MAN,CREATURE:INTERACTION:NAME,Pet animal,동물 쓰다듬기
CREATURE:WORM_MAN,CREATURE:INTERACTION:VERB:SELF,pet,쓰다듬는다
CREATURE:WORM_MAN,CREATURE:INTERACTION:VERB:OTHER,pets,쓰다듬는다
CREATURE:WORM_MAN,CREATURE:INTERACTION:VERB:MUTUAL,pets,서로 쓰다듬는다
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:NAME:SINGULAR,worm man,지렁이 인간
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:NAME:PLURAL,worm men,지렁이 인간들
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:NAME:ADJECTIVE,worm man,지렁이 인간
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:DESCRIPTION,A worm-like creature with the torso of a man.,"지렁이처럼 생긴 생물로, 상반신은 사람 형태다."
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:ATTACK:SECOND,punch,주먹질한다
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:ATTACK:THIRD,punches,주먹질한다
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:TLCM:SINGULAR,skin,피부
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Scramble,기어가기
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Faster Crawl,가속 포복
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Fast Crawl,빠른 포복
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Crawl,포복
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Slow Crawl,느린 포복
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Creep,느릿느릿 이동
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Scramble,기어넘기기
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Faster Climb,가속 기어오르기
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Fast Climb,빠른 기어오르기
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Climb,기어오르기
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Slow Climb,느린 기어오르기
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Creep,달라붙기
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Scramble,기어가기
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Faster Crawl,가속 포복
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Fast Crawl,빠른 포복
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Crawl,포복
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Slow Crawl,느린 포복
CREATURE:WORM_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Creep,살금살금 기기
CREATURE:BIRD_BLUEJAY,CREATURE:NAME:SINGULAR,blue jay,블루제이
CREATURE:BIRD_BLUEJAY,CREATURE:NAME:PLURAL,blue jays,블루제이들
CREATURE:BIRD_BLUEJAY,CREATURE:NAME:ADJECTIVE,blue jay,블루제이
CREATURE:BIRD_BLUEJAY,CREATURE:CHILD:SINGULAR,blue jay hatchling,블루제이 새끼
CREATURE:BIRD_BLUEJAY,CREATURE:CHILD:PLURAL,blue jay hatchlings,블루제이 새끼들
CREATURE:BIRD_BLUEJAY,CREATURE:PREFSTRING,coloration,화려한 색채
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:NAME:SINGULAR,blue jay,블루제이
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:NAME:PLURAL,blue jays,블루제이들
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:NAME:ADJECTIVE,blue jay,블루제이
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:DESCRIPTION,"A small blue-crested bird living in temperate woodlands, known for its harsh chirps.","온대 숲에 사는 작은 푸른 볏달린 새로, 거친 지저귐으로 유명하다."
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:ATTACK:SECOND,bite,문다
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:ATTACK:THIRD,bites,문다
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:ATTACK:SECOND,snatch at,낚아채려 든다
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:ATTACK:THIRD,snatches at,낚아채려 든다
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:TLCM:PLURAL,feathers,깃털
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:TLCM:SINGULAR,skin,피부
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:TLCM:PLURAL,eyes,눈
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:FLY,Maximum Flight Speed,최대 비행 속도
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:FLY,Faster Flight,더 빠른 비행
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:FLY,Fast Flight,빠른 비행
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:FLY,Fly,비행
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:FLY,Slow Flight,느린 비행
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:FLY,Hover,정지비행
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:WALK,Fastest Walk,최고 속도 걷기
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:WALK,Faster Walk,더 빠른 걷기
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:WALK,Fast Walk,빠른 걷기
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:WALK,Walk,걷기
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:WALK,Slow Walk,느린 걷기
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:WALK,Slowest Walk,최저 속도 걷기
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:SWIM,Maximum Swim Speed,최대 수영 속도
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:SWIM,Faster Swim,더 빠른 수영
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:SWIM,Fast Swim,빠른 수영
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:SWIM,Swim,수영
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:SWIM,Slow Swim,느린 수영
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:SWIM,Creeping Swim,유영
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:CRAWL,Scramble,기어다니기
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:CRAWL,Faster Crawl,더 빠른 포복
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:CRAWL,Fast Crawl,빠른 포복
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:CRAWL,Crawl,포복
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:CRAWL,Slow Crawl,느린 포복
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:CRAWL,Creep,살금살금 기기
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:CLIMB,Scramble,기어넘기기
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:CLIMB,Faster Climb,더 빠른 등반
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:CLIMB,Fast Climb,빠른 등반
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:CLIMB,Climb,등반
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:CLIMB,Slow Climb,느린 등반
CREATURE:BIRD_BLUEJAY:ALL,CREATURE:CASTE:GAIT:CLIMB,Creep,달라붙어 오르기
CREATURE:BLUEJAY_MAN,CREATURE:NAME:SINGULAR,bluejay man,블루제이 인간
CREATURE:BLUEJAY_MAN,CREATURE:NAME:PLURAL,bluejay men,블루제이 인간들
CREATURE:BLUEJAY_MAN,CREATURE:NAME:ADJECTIVE,bluejay man,관청어치 인간
CREATURE:BLUEJAY_MAN,CREATURE:PREFSTRING,coloration,다채로운 색채
CREATURE:BLUEJAY_MAN,CREATURE:INTERACTION:NAME,Pet animal,동물 쓰다듬기
CREATURE:BLUEJAY_MAN,CREATURE:INTERACTION:VERB:SELF,pet,쓰다듬다
CREATURE:BLUEJAY_MAN,CREATURE:INTERACTION:VERB:OTHER,pets,쓰다듬다
CREATURE:BLUEJAY_MAN,CREATURE:INTERACTION:VERB:MUTUAL,pets,서로 쓰다듬다
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:DESCRIPTION,A person with the head and wings of a bluejay.,관청어치의 머리와 날개를 가진 인간형 생물.
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:ATTACK:SECOND,punch,주먹질하다
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:ATTACK:THIRD,punches,주먹질하다
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:ATTACK:SECOND,kick,차다
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:ATTACK:THIRD,kicks,차다
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:ATTACK:SECOND,snatch at,잡아채다
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:ATTACK:THIRD,snatches at,잡아채다
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:ATTACK:SECOND,bite,물다
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:ATTACK:THIRD,bites,물다
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:TLCM:PLURAL,feathers,깃털
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:TLCM:SINGULAR,skin,피부
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:TLCM:PLURAL,eyes,눈
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Sprint,전력 질주
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Run,달리기
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Jog,조깅
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Walk,걷기
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Stroll,산책
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:WALK,Creep,느릿느릿 걷기
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:FLY,Maximum Flight Speed,최대 비행 속도
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:FLY,Faster Flight,더 빠른 비행
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:FLY,Fast Flight,빠른 비행
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:FLY,Fly,비행
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:FLY,Slow Flight,느린 비행
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:FLY,Hover,호버링
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Scramble,기어오르기
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Faster Climb,더 빠른 등반
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Fast Climb,빠른 등반
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Climb,등반
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Slow Climb,느린 등반
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:CLIMB,Creep,매달려 기어가기
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:SWIM,Maximum Swim Speed,최대 수영 속도
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:SWIM,Faster Swim,더 빠른 수영
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:SWIM,Fast Swim,빠른 수영
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:SWIM,Swim,수영
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:SWIM,Slow Swim,느린 수영
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:SWIM,Creeping Swim,유영
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Scramble,기어가기
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Faster Crawl,더 빠른 포복
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Fast Crawl,빠른 포복
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Crawl,포복
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Slow Crawl,느린 포복
CREATURE:BLUEJAY_MAN:ALL,CREATURE:CASTE:GAIT:CRAWL,Creep,살금살금 기어가기
CREATURE:BLUEJAY_MAN:FEMALE,CREATURE:CASTE:NAME:SINGULAR,bluejay woman,관청어치 여자
CREATURE:BLUEJAY_MAN:FEMALE,CREATURE:CASTE:NAME:PLURAL,bluejay women,관청어치 여자들
CREATURE:BLUEJAY_MAN:FEMALE,CREATURE:CASTE:NAME:ADJECTIVE,bluejay woman,암컷 블루제이인
CREATURE:BLUEJAY_MAN:MALE,CREATURE:CASTE:NAME:SINGULAR,bluejay man,수컷 블루제이인
CREATURE:BLUEJAY_MAN:MALE,CREATURE:CASTE:NAME:PLURAL,bluejay men,수컷 블루제이인
CREATURE:BLUEJAY_MAN:MALE,CREATURE:CASTE:NAME:ADJECTIVE,bluejay man,수컷 블루제이인
CREATURE:GIANT_BLUEJAY,CREATURE:NAME:SINGULAR,giant bluejay,거대 블루제이
CREATURE:GIANT_BLUEJAY,CREATURE:NAME:PLURAL,giant bluejays,거대 블루제이
CREATURE:GIANT_BLUEJAY,CREATURE:NAME:ADJECTIVE,giant bluejay,거대 블루제이
CREATURE:GIANT_BLUEJAY,CREATURE:CHILD:SINGULAR,giant bluejay hatchling,거대 블루제이 새끼
CREATURE:GIANT_BLUEJAY,CREATURE:CHILD:PLURAL,giant bluejay hatchlings,거대 블루제이 새끼
CREATURE:GIANT_BLUEJAY,CREATURE:PREFSTRING,coloration,다채로운 색상
CREATURE:GIANT_BLUEJAY:ALL,CREATURE:CASTE:NAME:SINGULAR,giant bluejay,거대 블루제이
