group,key,npl,adj,ssg,spl,rtn,tkn,hbn,lbn,tgn,cpn,name,name_translation
bushes,PLANT:KENAF,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,kenaf plant,洋麻植株
bushes,PLANT:PAPYRUS_SEDGE,STP,CPY,SPL,STP,IGN,IGN,IGN,IGN,IGN,IGN,papyrus sedge,纸莎草
bushes,PLANT:ARTICHOKE,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,artichoke,洋蓟
bushes,PLANT:ASPARAGUS,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,asparagus,芦笋
bushes,PLANT:BAMBARA_GROUNDNUT,STP,CPY,PLT,STP,IGN,IGN,IGN,IGN,IGN,IGN,bambara groundnut plant,班巴拉花生植株
bushes,PLANT:STRING_BEAN,STP,CPY,PLT,STP,IGN,IGN,IGN,IGN,IGN,IGN,string bean plant,青豆植株
bushes,PLANT:BROAD_BEAN,STP,CPY,PLT,STP,IGN,IGN,IGN,IGN,IGN,IGN,broad bean plant,蚕豆植株
bushes,PLANT:BEET,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,beet plant,甜菜植株
bushes,PLANT:BITTER_MELON,STP,CPY,VNS,STP,IGN,IGN,IGN,IGN,IGN,IGN,bitter melon vine,苦瓜藤
bushes,PLANT:CABBAGE,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,cabbage,卷心菜
bushes,PLANT:CAPER,ESP,CPY,BSD,STP,IGN,IGN,IGN,IGN,IGN,IGN,caper bush,刺山柑灌木
bushes,PLANT:WILD_CARROT,STP,CPY,SPL,STP,IGN,IGN,IGN,IGN,IGN,IGN,wild carrot plant,野胡萝卜植株
bushes,PLANT:CASSAVA,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,cassava,木薯
bushes,PLANT:CELERY,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,celery,芹菜
bushes,PLANT:CHICKPEA,STP,CPY,PLT,STP,IGN,IGN,IGN,IGN,IGN,IGN,chickpea plant,鹰嘴豆植株
bushes,PLANT:CHICORY,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,chicory,菊苣
bushes,PLANT:COWPEA,STP,CPY,PLT,STP,IGN,IGN,IGN,IGN,IGN,IGN,cowpea plant,豇豆植株
bushes,PLANT:CUCUMBER,STP,CPY,VNS,STP,IGN,IGN,IGN,IGN,IGN,IGN,cucumber vine,黄瓜藤
bushes,PLANT:EGGPLANT,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,eggplant,茄子
bushes,PLANT:GARDEN_CRESS,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,garden cress,水芹
bushes,PLANT:GARLIC,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,garlic plant,大蒜植株
bushes,PLANT:HORNED_MELON,STP,CPY,VNS,STP,IGN,IGN,IGN,IGN,IGN,IGN,horned melon vine,刺角瓜藤
bushes,PLANT:LEEK,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,leek,韭葱
bushes,PLANT:LENTIL,STP,CPY,PLT,STP,IGN,IGN,IGN,IGN,IGN,IGN,lentil plant,扁豆植株
bushes,PLANT:LETTUCE,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,lettuce,生菜
bushes,PLANT:MUNG_BEAN,STP,CPY,PLT,STP,IGN,IGN,IGN,IGN,IGN,IGN,mung bean plant,绿豆植株
bushes,PLANT:MUSKMELON,STP,CPY,VNS,STP,IGN,IGN,IGN,IGN,IGN,IGN,muskmelon vine,甜瓜藤
bushes,PLANT:ONION,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,onion plant,洋葱植株
bushes,PLANT:PARSNIP,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,parsnip plant,防风草植株
bushes,PLANT:PEA,STP,CPY,PLT,STP,IGN,IGN,IGN,IGN,IGN,IGN,pea plant,豌豆植株
bushes,PLANT:PEANUT,STP,CPY,PLT,STP,IGN,IGN,IGN,IGN,IGN,IGN,peanut plant,花生植株
bushes,PLANT:PEPPER,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,pepper plant,胡椒植株
bushes,PLANT:POTATO,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,potato plant,马铃薯植株
bushes,PLANT:RADISH,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,radish plant,小萝卜植株
bushes,PLANT:RED_BEAN,STP,CPY,SPL,STP,IGN,IGN,IGN,IGN,IGN,IGN,red bean vine,红豆藤
bushes,PLANT:RHUBARB,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,rhubarb,大黄
bushes,PLANT:SOYBEAN,STP,CPY,PLT,STP,IGN,IGN,IGN,IGN,IGN,IGN,soybean plant,黄豆植株
bushes,PLANT:SPINACH,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,spinach,菠菜
bushes,PLANT:SQUASH,STP,CPY,VNS,STP,IGN,IGN,IGN,IGN,IGN,IGN,squash vine,西葫芦藤
bushes,PLANT:SWEET_POTATO,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,sweet potato plant,甘薯植株
bushes,PLANT:TARO,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,taro,芋头
bushes,PLANT:TOMATO,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,tomato plant,番茄植株
bushes,PLANT:TOMATILLO,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,tomatillo plant,灯笼番茄植株
bushes,PLANT:TURNIP,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,turnip plant,芜菁植株
bushes,PLANT:URAD_BEAN,STP,CPY,PLT,STP,IGN,IGN,IGN,IGN,IGN,IGN,urad bean plant,尤拉德黑豆植株
bushes,PLANT:WATERMELON,STP,CPY,VNS,STP,IGN,IGN,IGN,IGN,IGN,IGN,watermelon vine,西瓜藤
bushes,PLANT:WINTER_MELON,STP,CPY,VNS,STP,IGN,IGN,IGN,IGN,IGN,IGN,winter melon vine,冬瓜藤
bushes,PLANT:LESSER_YAM,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,lesser yam plant,小山药植株
bushes,PLANT:LONG_YAM,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,long yam plant,长山药植株
bushes,PLANT:PURPLE_YAM,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,purple yam plant,紫薯植株
bushes,PLANT:WHITE_YAM,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,white yam plant,白薯植株
bushes,PLANT:PASSION_FRUIT,STP,CPY,VNS,STP,IGN,IGN,IGN,IGN,IGN,IGN,passion fruit vine,百香果藤
bushes,PLANT:GRAPE,STP,CPY,VNS,STP,IGN,IGN,IGN,IGN,IGN,IGN,grape vine,葡萄藤
bushes,PLANT:CRANBERRY,STP,CPY,VNS,STP,IGN,IGN,IGN,IGN,IGN,IGN,cranberry vine,蔓越莓藤
bushes,PLANT:BILBERRY,ESP,CPY,BSD,STP,IGN,IGN,IGN,IGN,IGN,IGN,bilberry bush,越橘灌木
bushes,PLANT:BLUEBERRY,ESP,CPY,BSD,STP,IGN,IGN,IGN,IGN,IGN,IGN,blueberry bush,蓝莓灌木
bushes,PLANT:BLACKBERRY,ESP,CPY,BSD,STP,IGN,IGN,IGN,IGN,IGN,IGN,blackberry bush,黑莓灌木
bushes,PLANT:RASPBERRY,ESP,CPY,BSD,STP,IGN,IGN,IGN,IGN,IGN,IGN,raspberry bush,树莓灌木
bushes,PLANT:PINEAPPLE,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,pineapple plant,菠萝植株
grasses,PLANT:MEADOW-GRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,meadow-grass,甸草
grasses,PLANT:HAIR GRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,hair grass,发草
grasses,PLANT:BENTGRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,bentgrass,糠穗草
grasses,PLANT:RYEGRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,ryegrass,绿麦草
grasses,PLANT:FESCUE GRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,fescue grass,细叶草
grasses,PLANT:REEDGRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,reedgrass,茅草
grasses,PLANT:KNOTGRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,knotgrass,绳结草
grasses,PLANT:ZOYSIA,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,zoysia,结缕草
grasses,PLANT:DOG'S TOOTH GRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,dog's tooth grass,狗牙草
grasses,PLANT:DALLISGRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,dallisgrass,雀稗草
grasses,PLANT:CARPETGRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,carpetgrass,地毯草
grasses,PLANT:SATINTAIL,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,satintail,缎尾草
grasses,PLANT:GRAMA,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,grama,格兰马草
grasses,PLANT:DROPSEED GRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,dropseed grass,落籽草
grasses,PLANT:NEEDLE GRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,needle grass,针草
grasses,PLANT:BABY TOES SUCCULENT,STP,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,baby toes succulent,幼趾多肉
grasses,PLANT:PEBBLE PLANTS,STP,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,pebble plant,生石花植株
grasses,PLANT:BLUE SEDGE,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,blue sedge,蓝苔莎
grasses,PLANT:FIELD SEDGE,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,field sedge,田野莎草
grasses,PLANT:PURPLE MOOR GRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,purple moor grass,紫泽草
grasses,PLANT:VELVET GRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,velvet grass,丝绒草
grasses,PLANT:MEADOWSWEET,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,meadowsweet,绣线菊
grasses,PLANT:RUSH,ESP,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,rush,灯心草
grasses,PLANT:MARSH THISTLE,STP,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,marsh thistle,沼泽蓟
grasses,PLANT:COMMON REED,STP,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,common reed,芦苇
grasses,PLANT:CATTAIL,STP,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,cattail,猫尾草
grasses,PLANT:SAWGRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,sawgrass,锯齿草
grasses,PLANT:COTTONGRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,cottongrass,棉草
grasses,PLANT:WHITE MOUNTAIN HEATHER,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,white mountain heather,白山石楠
grasses,PLANT:MOUNTAIN AVENS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,mountain avens,山蔷薇
grasses,PLANT:CLOUDBERRY,YPL,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,cloudberry,云莓
grasses,PLANT:WORMY TENDRILS,STP,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,wormy tendril,蠕虫卷须
grasses,PLANT:EYEBALL,STP,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,staring eyeball,凝视眼球
grasses,PLANT:BUBBLE BULBS,STP,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,bubble bulb,泡泡球茎
grasses,PLANT:DOWNY GRASS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,downy grass,羽绒草
grasses,PLANT:CAVE MOSS,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,cave moss,洞穴苔藓
grasses,PLANT:FLOOR FUNGI,USP,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,floor fungus,地真菌
grasses,PLANT:UNDERLICHEN,CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,underlichen,洞窟地衣
grasses,"PLANT:BAMBOO, ARROW",CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,arrow bamboo,箭竹
grasses,"PLANT:BAMBOO, GOLDEN",CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,golden bamboo,金竹
grasses,"PLANT:BAMBOO, HEDGE",CPY,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,hedge bamboo,篱笆竹
trees,PLANT:ABACA,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,abaca tree,蕉麻树
trees,PLANT:BANANA,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,banana tree,香蕉树
trees,PLANT:CARAMBOLA,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,carambola tree,杨桃树
trees,PLANT:CASHEW,STP,CPY,TPN,STP,STD,STD,STD,STD,STD,STD,cashew tree,腰果树
trees,PLANT:COFFEE,STP,CPY,TBN,STP,STD,STD,STD,STD,STD,STD,coffee tree,咖啡树
trees,PLANT:DURIAN,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,durian tree,榴梿树
trees,PLANT:GUAVA,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,guava tree,番石榴树
trees,PLANT:PAPAYA,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,papaya tree,番木瓜树
trees,PLANT:PARADISE_NUT,STP,CPY,TPN,STP,STD,STD,STD,STD,STD,STD,paradise nut tree,天堂果树
trees,PLANT:RAMBUTAN,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,rambutan tree,红毛果树
trees,PLANT:TEA,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,tea tree,茶树
trees,PLANT:AVOCADO,STP,CPY,TPP,STP,STD,STD,STD,STD,STD,STD,avocado tree,鳄梨树
trees,PLANT:LIME,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,lime tree,酸橙树
trees,PLANT:POMELO,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,pomelo tree,蜜柚树
trees,PLANT:CITRON,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,citron tree,香橼树
trees,PLANT:ORANGE,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,orange tree,橘子树
trees,PLANT:BITTER_ORANGE,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,bitter orange tree,苦橙树
trees,PLANT:FINGER_LIME,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,finger lime tree,指橘树
trees,PLANT:ROUND_LIME,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,round lime tree,圆橘树
trees,PLANT:DESERT_LIME,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,desert lime tree,漠橘树
trees,PLANT:KUMQUAT,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,kumquat tree,金橘树
trees,PLANT:CUSTARD-APPLE,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,custard-apple tree,番荔枝树
trees,PLANT:DATE_PALM,STP,CPY,STD,STP,STD,STD,STD,STD,STD,STD,date palm,枣棕榈
trees,PLANT:LYCHEE,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,lychee tree,荔枝树
trees,PLANT:MACADAMIA,STP,CPY,SPL,STP,STD,STD,STD,STD,STD,STD,macadamia tree,奶油果树
trees,PLANT:OLIVE,STP,CPY,TPP,STP,STD,STD,STD,STD,STD,STD,olive tree,橄榄树
trees,PLANT:POMEGRANATE,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,pomegranate tree,石榴树
trees,PLANT:ALMOND,STP,CPY,TPN,STP,STD,STD,STD,STD,STD,STD,almond tree,扁桃树
trees,PLANT:APPLE,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,apple tree,苹果树
trees,PLANT:APRICOT,STP,CPY,TPP,STP,STD,STD,STD,STD,STD,STD,apricot tree,杏树
trees,PLANT:BAYBERRY,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,bayberry tree,杨梅树
trees,PLANT:CHERRY,STP,CPY,TPP,STP,STD,STD,STD,STD,STD,STD,cherry tree,樱桃树
trees,PLANT:GINKGO,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,ginkgo tree,银杏树
trees,PLANT:HAZEL,STP,CPY,SPL,STP,STD,STD,STD,STD,STD,STD,hazel tree,榛树
trees,PLANT:PEACH,STP,CPY,TPP,STP,STD,STD,STD,STD,STD,STD,peach tree,桃树
trees,PLANT:PEAR,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,pear tree,白梨树
trees,PLANT:PECAN,STP,CPY,TPN,STP,STD,STD,STD,STD,STD,STD,pecan tree,碧根果树
trees,PLANT:PERSIMMON,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,persimmon tree,柿树
trees,PLANT:PLUM,STP,CPY,TPP,STP,STD,STD,STD,STD,STD,STD,plum tree,李树
trees,PLANT:SAND_PEAR,STP,CPY,TSD,STP,STD,STD,STD,STD,STD,STD,sand pear tree,沙梨树
trees,PLANT:WALNUT,STP,CPY,TPN,STP,STD,STD,STD,STD,STD,STD,walnut tree,核桃树
bushes,PLANT:MUSHROOM_HELMET_PLUMP,STP,CPY,SPN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,plump helmet,肉盔菇
bushes,PLANT:GRASS_TAIL_PIG,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,pig tail,猪尾草
bushes,PLANT:GRASS_WHEAT_CAVE,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,cave wheat,洞穴小麦
bushes,PLANT:POD_SWEET,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,sweet pod,甜豆荚
bushes,PLANT:BUSH_QUARRY,ESP,CPY,SPL,STP,IGN,IGN,IGN,IGN,IGN,IGN,quarry bush,矿场灌木
bushes,PLANT:ROOT_MUCK,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,muck root,淤曲根
bushes,PLANT:TUBER_BLOATED,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,bloated tuber,膨地根
bushes,PLANT:BULB_KOBOLD,STP,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,kobold bulb,犬蜥球茎
bushes,PLANT:BERRIES_PRICKLE,YPL,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,prickle berry,刺莓
bushes,PLANT:BERRIES_STRAW,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,strawberry plant,草莓植株
bushes,PLANT:GRASS_LONGLAND,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,Longland grass,长岛草
bushes,PLANT:HERB_VALLEY,STP,CPY,IGN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,valley herb,山谷香草
bushes,PLANT:WEED_RAT,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,rat weed,杂鼠草
bushes,PLANT:BERRIES_FISHER,YPL,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,fisher berry,渔夫浆果
bushes,PLANT:REED_ROPE,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,rope reed,绳索苇
bushes,PLANT:MUSHROOM_CUP_DIMPLE,STP,CPY,SPN,CPY,IGN,IGN,IGN,IGN,IGN,IGN,dimple cup,窝杯菇
bushes,PLANT:WEED_BLADE,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,blade weed,刀刃草
bushes,PLANT:ROOT_HIDE,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,hide root,匿茎草
bushes,PLANT:SLIVER_BARB,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,sliver barb,裂钩草
bushes,PLANT:BERRY_SUN,YPL,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,sun berry,太阳浆果
bushes,PLANT:VINE_WHIP,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,whip vine,鞭藤
trees,PLANT:MANGROVE,STP,CPY,IGN,CPY,STD,STD,STD,STD,STD,STD,mangrove,红树
trees,PLANT:SAGUARO,STP,CPY,IGN,CPY,STD,STD,STD,STD,STD,STD,saguaro,巨刺柱
trees,PLANT:PINE,STP,CPY,IGN,CPY,STD,STD,STD,STD,STD,STD,pine,针松
trees,PLANT:CEDAR,STP,CPY,IGN,CPY,STD,STD,STD,STD,STD,STD,cedar,雪松
trees,PLANT:OAK,STP,ENA,SPL,STP,STD,STD,STD,STD,STD,STD,oak,橡树
trees,PLANT:MAHOGANY,YPL,CPY,IGN,CPY,STD,STD,STD,STD,STD,STD,mahogany,褐芯树
trees,PLANT:ACACIA,STP,CPY,STD,STP,STD,STD,STD,STD,STD,STD,acacia,刺槐
trees,PLANT:KAPOK,STP,CPY,IGN,CPY,STD,STD,STD,STD,STD,STD,kapok,木棉树
trees,PLANT:MAPLE,STP,CPY,IGN,CPY,STD,STD,STD,STD,STD,STD,maple,枫树
trees,PLANT:WILLOW,STP,CPY,IGN,CPY,STD,STD,STD,STD,STD,STD,willow,柳树
trees,PLANT:TOWER_CAP,STP,CPY,IGN,CPY,STD,STD,STD,STD,STD,STD,tower-cap,塔菇
trees,PLANT:BLACK_CAP,STP,CPY,IGN,CPY,STD,STD,STD,STD,STD,STD,black-cap,黑菇
trees,PLANT:NETHER_CAP,STP,CPY,IGN,CPY,STD,STD,STD,STD,STD,STD,nether-cap,下界菇
trees,PLANT:GOBLIN_CAP,STP,CPY,IGN,CPY,STD,STD,STD,STD,STD,STD,goblin-cap,妖精菇
trees,PLANT:FUNGIWOOD,STP,CPY,IGN,CPY,STD,STD,STD,STD,STD,STD,fungiwood,真菌木
trees,PLANT:TUNNEL_TUBE,STP,CPY,IGN,CPY,STD,STD,STD,STD,STD,STD,tunnel tube,隧管菌
