source_noun,adjective,adjective_translation_override
,amber opal,
,gold opal,
,citrine,
,yellow jasper,
,tigereye,
,tiger iron,
,sunstone,
,resin opal,
,pyrite,
,clear tourmaline,
,gray chalcedony,
,dendritic agate,
,shell opal,
,bone opal,
,white chalcedony,
,fortification agate,
,milk quartz,
,moonstone,
,white jade,
,jasper opal,
,pineapple opal,
,onyx opal,
,milk opal,
,pipe opal,
,aventurine,
,turquoise,
,rose quartz,
,rock crystal,
,black zircon,
,black pyrope,
,melanite,
,indigo tourmaline,
,blue garnet,
,tsavorite,
,green tourmaline,
,demantoid,
,green zircon,
,green jade,
,heliodor,
,peridot,
,red zircon,
,red tourmaline,
,red pyrope,
,almandine,
,red grossular,
,pink tourmaline,
,red beryl,
,fire opal,
,rhodolite,
,purple spinel,
,alexandrite,
,tanzanite,
,morganite,
,violet spessartine,
,pink garnet,
,kunzite,
,cinnamon grossular,
,honey yellow beryl,
,jelly opal,
,brown zircon,
,yellow zircon,
,golden beryl,
,yellow spessartine,
,topaz,
,topazolite,
,yellow grossular,
,rubicelle,
,clear garnet,
,goshenite,
,cat's eye,
,clear zircon,
,amethyst,
,aquamarine,
,red spinel,
,chrysoberyl,
,precious fire opal,
,red flash opal,
,black opal,
,white opal,
,crystal opal,
,claro opal,
,levin opal,
,harlequin opal,
,pinfire opal,
,bandfire opal,
,light yellow diamond,
,faint yellow diamond,
,emerald,
,ruby,
,sapphire,
,clear diamond,
,red diamond,
,green diamond,
,blue diamond,
,yellow diamond,
,black diamond,
,star sapphire,
,star ruby,
,sandstone,
,siltstone,
,mudstone,
,shale,
,claystone,
,rock salt,
,limestone,
,conglomerate,
,dolomite,
,chert,
,chalk,
,granite,
,diorite,
,gabbro,
,rhyolite,
,basalt,
,andesite,
,dacite,
,obsidian,
,quartzite,
,slate,
,phyllite,
,schist,
,gneiss,
,marble,
,hematite,
,limonite,
,garnierite,
native gold dust,native gold,
,molten native gold,
,boiling native gold,
,native silver,
,molten native silver,
,boiling native silver,
,native copper,
,molten native copper,
,boiling native copper,
,malachite,
,galena,
,sphalerite,
,cassiterite,
,bituminous coal,
,lignite,
,native platinum,
,molten native platinum,
,boiling native platinum,
,cinnabar,
,cobaltite,
,tetrahedrite,
,horn silver,
,gypsum,
,talc,
,jet,
,puddingstone,
,petrified wood,
,graphite,
,brimstone,
,kimberlite,
,bismuthinite,
,realgar,
,orpiment,
,stibnite,
,marcasite,
,sylvite,
,cryolite,
,periclase,
,ilmenite,
,rutile,
,magnetite,
,chromite,
,pyrolusite,
,pitchblende,
,bauxite,
,native aluminum,
,molten native aluminum,
,boiling native aluminum,
,borax,
,olivine,
,hornblende,
,kaolinite,
,serpentine,
,orthoclase,
,microcline,
,mica,
,calcite,
,saltpeter,
,alabaster,
,selenite,
,satinspar,
,anhydrite,
,alunite,
,raw adamantine,
,molten raw adamantine,
,boiling raw adamantine,
,slade,
,clay,
,silty clay,
,sandy clay,
,clay loam,
,sandy clay loam,
,silty clay loam,
,loam,
,sandy loam,
,silt loam,
,loamy sand,
,silt,
,sand,
,yellow sand,
,white sand,
,black sand,
,red sand,
,peat,
,pelagic clay,
,calcareous ooze,
,siliceous ooze,
,fire clay,
,skin,
fat,fatty,
grease,greasy,
,muscle,
,bone,
,bone meal,
cartilage,cartilaginous,
,tooth,
,eye tissue,
,nervous tissue,
,brain,
,lung tissue,
,heart tissue,
,liver tissue,
,gut,
,stomach tissue,
,gizzard tissue,
,pancreatic tissue,
,spleen tissue,
,kidney tissue,
,leather,
,parchment,
,tallow,
,melted tallow,
,soap,
,melted soap,
,sinew,
,frozen blood,
,blood,
,boiling blood,
,frozen pus,
,pus,
,boiling pus,
,frozen ichor,
,ichor,
,boiling ichor,
,feather,
,nail,
,eggshell,
,eggshell powder,
,frozen egg white,
,egg white,
,boiling egg white,
,frozen egg yolk,
,egg yolk,
,boiling egg yolk,
,chitin,
,frozen bark scorpion venom,
,bark scorpion venom,
,boiling bark scorpion venom,
,frozen bark scorpion man venom,
,bark scorpion man venom,
,boiling bark scorpion man venom,
,frozen giant bark scorpion venom,
,giant bark scorpion venom,
,boiling giant bark scorpion venom,
,shell,
,frozen brown recluse spider venom,
,brown recluse spider venom,
,boiling brown recluse spider venom,
,silk,
,frozen brown recluse spider man venom,
,brown recluse spider man venom,
,boiling brown recluse spider man venom,
,frozen giant brown recluse spider venom,
,giant brown recluse spider venom,
,boiling giant brown recluse spider venom,
,scale,
,frozen gila monster venom,
,gila monster venom,
,boiling gila monster venom,
,frozen gila monster man venom,
,gila monster man venom,
,boiling gila monster man venom,
,frozen giant gila monster venom,
,giant gila monster venom,
,boiling giant gila monster venom,
,hair,
,hoof,
,frozen donkey's milk,
,donkey's milk,
,boiling donkey's milk,
,donkey cheese,
,melted donkey cheese,
,boiling donkey cheese,
,donkey cheese powder,
cheese,cheesy,
,frozen horse's milk,
,horse's milk,
,boiling horse's milk,
,horse cheese,
,melted horse cheese,
,boiling horse cheese,
,horse cheese powder,
,vellum,
,horn,
,frozen cow's milk,
,cow's milk,
,boiling cow's milk,
,cow cheese,
,melted cow cheese,
,boiling cow cheese,
,cow cheese powder,
,wool,
,frozen sheep's milk,
,sheep's milk,
,boiling sheep's milk,
,sheep cheese,
,melted sheep cheese,
,boiling sheep cheese,
,sheep cheese powder,
,frozen pig's milk,
,pig's milk,
,boiling pig's milk,
,pig cheese,
,melted pig cheese,
,boiling pig cheese,
,pig cheese powder,
,frozen goat's milk,
,goat's milk,
,boiling goat's milk,
,goat cheese,
,melted goat cheese,
,boiling goat cheese,
,goat cheese powder,
,frozen water buffalo's milk,
,water buffalo's milk,
,boiling water buffalo's milk,
,water buffalo cheese,
,melted water buffalo cheese,
,boiling water buffalo cheese,
,water buffalo cheese powder,
,antler,
,frozen reindeer's milk,
,reindeer's milk,
,boiling reindeer's milk,
,reindeer cheese,
,melted reindeer cheese,
,boiling reindeer cheese,
,reindeer cheese powder,
,frozen yak's milk,
,yak's milk,
,boiling yak's milk,
,yak cheese,
,melted yak cheese,
,boiling yak cheese,
,yak cheese powder,
,frozen llama's milk,
,llama's milk,
,boiling llama's milk,
,llama cheese,
,melted llama cheese,
,boiling llama cheese,
,llama cheese powder,
,frozen alpaca's milk,
,alpaca's milk,
,boiling alpaca's milk,
,alpaca cheese,
,melted alpaca cheese,
,boiling alpaca cheese,
,alpaca cheese powder,
wood,wooden,木制
,honey bee wax,
,melted honey bee wax,
,boiling honey bee wax,
,honey bee wax cake,
,frozen honey bee royal jelly,
,honey bee royal jelly,
,boiling honey bee royal jelly,
,frozen honey bee honey,
,honey bee honey,
,boiling honey bee honey,
,frozen mead,
,mead,
,boiling mead,
,frozen honey bee venom,
,honey bee venom,
,boiling honey bee venom,
,bumblebee wax,
,melted bumblebee wax,
,boiling bumblebee wax,
,bumblebee wax cake,
,frozen bumblebee royal jelly,
,bumblebee royal jelly,
,boiling bumblebee royal jelly,
,frozen bumblebee honey,
,bumblebee honey,
,boiling bumblebee honey,
,frozen bumblebee mead,
,bumblebee mead,
,boiling bumblebee mead,
,frozen bumblebee venom,
,bumblebee venom,
,boiling bumblebee venom,
,frozen sweat,
,sweat,
,boiling sweat,
,frozen tears,
,tears,
,boiling tears,
,frozen spit,
,spit,
,boiling spit,
,ivory,
,frozen platypus venom,
,platypus venom,
,boiling platypus venom,
,frozen platypus man venom,
,platypus man venom,
,boiling platypus man venom,
,frozen giant platypus venom,
,giant platypus venom,
,boiling giant platypus venom,
,frozen one-humped camel's milk,
,one-humped camel's milk,
,boiling one-humped camel's milk,
,one-humped camel cheese,
,melted one-humped camel cheese,
,boiling one-humped camel cheese,
,one-humped camel cheese powder,
,frozen one-humped camel man's milk,
,one-humped camel man's milk,
,boiling one-humped camel man's milk,
,one-humped camel man cheese,
,melted one-humped camel man cheese,
,boiling one-humped camel man cheese,
,one-humped camel man cheese powder,
,frozen giant one-humped camel's milk,
,giant one-humped camel's milk,
,boiling giant one-humped camel's milk,
,giant one-humped camel cheese,
,melted giant one-humped camel cheese,
,boiling giant one-humped camel cheese,
,giant one-humped camel cheese powder,
,frozen two-humped camel's milk,
,two-humped camel's milk,
,boiling two-humped camel's milk,
,two-humped camel cheese,
,melted two-humped camel cheese,
,boiling two-humped camel cheese,
,two-humped camel cheese powder,
,frozen two-humped camel man's milk,
,two-humped camel man's milk,
,boiling two-humped camel man's milk,
,two-humped camel man cheese,
,melted two-humped camel man cheese,
,boiling two-humped camel man cheese,
,two-humped camel man cheese powder,
,frozen giant two-humped camel's milk,
,giant two-humped camel's milk,
,boiling giant two-humped camel's milk,
,giant two-humped camel cheese,
,melted giant two-humped camel cheese,
,boiling giant two-humped camel cheese,
,giant two-humped camel cheese powder,
,flesh,
,frozen helmet snake venom,
,helmet snake venom,
,boiling helmet snake venom,
,frozen corrupted blood,
,corrupted blood,
,boiling corrupted blood,
,frozen cave floater juice,
,cave floater juice,
,cave floater gas,
,plump helmet man tissue,
,melted plump helmet man tissue,
,boiling plump helmet man tissue,
,frozen cave blob fluid,
,cave blob fluid,
,boiling cave blob fluid,
,frozen octopus ink,
,octopus ink,
,boiling octopus ink,
,frozen octopus man ink,
,octopus man ink,
,boiling octopus man ink,
,frozen giant octopus ink,
,giant octopus ink,
,boiling giant octopus ink,
,frozen cuttlefish ink,
,cuttlefish ink,
,boiling cuttlefish ink,
,frozen cuttlefish man ink,
,cuttlefish man ink,
,boiling cuttlefish man ink,
,frozen giant cuttlefish ink,
,giant cuttlefish ink,
,boiling giant cuttlefish ink,
sponge,spongy,
,frozen mog juice,
,mog juice,
,boiling mog juice,
,frozen goo,
,goo,
,boiling goo,
,fluff,
,pudge,
,frozen phantom spider venom,
,phantom spider venom,
,boiling phantom spider venom,
,spine,
,frozen squid ink,
,squid ink,
,boiling squid ink,
,frozen squid man ink,
,squid man ink,
,boiling squid man ink,
,frozen giant squid ink,
,giant squid ink,
,boiling giant squid ink,
,fur,
,frozen giant cave spider venom,
,giant cave spider venom,
,boiling giant cave spider venom,
,frozen cave spider venom,
,cave spider venom,
,boiling cave spider venom,
,flames,
,liquid fire,
,frozen dwarven milk,
,dwarven milk,
,boiling dwarven milk,
,dwarven cheese,
,melted dwarven cheese,
,boiling dwarven cheese,
,dwarven cheese powder,
,frozen iron man gas,
,condensed iron man gas,
,iron man gas,
,frozen serpent man venom,
,serpent man venom,
,boiling serpent man venom,
,frozen kangaroo's milk,
,kangaroo's milk,
,boiling kangaroo's milk,
,kangaroo cheese,
,melted kangaroo cheese,
,boiling kangaroo cheese,
,kangaroo cheese powder,
,frozen kangaroo man's milk,
,kangaroo man's milk,
,boiling kangaroo man's milk,
,kangaroo man cheese,
,melted kangaroo man cheese,
,boiling kangaroo man cheese,
,kangaroo man cheese powder,
,frozen giant kangaroo's milk,
,giant kangaroo's milk,
,boiling giant kangaroo's milk,
,giant kangaroo cheese,
,melted giant kangaroo cheese,
,boiling giant kangaroo cheese,
,giant kangaroo cheese powder,
,frozen adder venom,
,adder venom,
,boiling adder venom,
,frozen adder man venom,
,adder man venom,
,boiling adder man venom,
,frozen giant adder venom,
,giant adder venom,
,boiling giant adder venom,
,frozen rattlesnake venom,
,rattlesnake venom,
,boiling rattlesnake venom,
,frozen rattlesnake man venom,
,rattlesnake man venom,
,boiling rattlesnake man venom,
,frozen giant rattlesnake venom,
,giant rattlesnake venom,
,boiling giant rattlesnake venom,
,frozen copperhead snake venom,
,copperhead snake venom,
,boiling copperhead snake venom,
,frozen copperhead snake man venom,
,copperhead snake man venom,
,boiling copperhead snake man venom,
,frozen giant copperhead snake venom,
,giant copperhead snake venom,
,boiling giant copperhead snake venom,
,frozen king cobra venom,
,king cobra venom,
,boiling king cobra venom,
,frozen king cobra man venom,
,king cobra man venom,
,boiling king cobra man venom,
,frozen giant king cobra venom,
,giant king cobra venom,
,boiling giant king cobra venom,
,frozen black mamba venom,
,black mamba venom,
,boiling black mamba venom,
,frozen black mamba man venom,
,black mamba man venom,
,boiling black mamba man venom,
,frozen giant black mamba venom,
,giant black mamba venom,
,boiling giant black mamba venom,
,frozen bushmaster venom,
,bushmaster venom,
,boiling bushmaster venom,
,frozen bushmaster man venom,
,bushmaster man venom,
,boiling bushmaster man venom,
,frozen giant bushmaster venom,
,giant bushmaster venom,
,boiling giant bushmaster venom,
,frozen tapir's milk,
,tapir's milk,
,boiling tapir's milk,
,tapir cheese,
,melted tapir cheese,
,boiling tapir cheese,
,tapir cheese powder,
,frozen tapir man's milk,
,tapir man's milk,
,boiling tapir man's milk,
,tapir man cheese,
,melted tapir man cheese,
,boiling tapir man cheese,
,tapir man cheese powder,
,frozen giant tapir's milk,
,giant tapir's milk,
,boiling giant tapir's milk,
,giant tapir cheese,
,melted giant tapir cheese,
,boiling giant tapir cheese,
,giant tapir cheese powder,
,plant,
,frozen single-grain wheat beer,
,single-grain wheat beer,
,boiling single-grain wheat beer,
,single-grain wheat flour,
,leaf,
,seed,
,frozen two-grain wheat beer,
,two-grain wheat beer,
,boiling two-grain wheat beer,
,two-grain wheat flour,
,frozen soft wheat beer,
,soft wheat beer,
,boiling soft wheat beer,
,soft wheat flour,
,frozen hard wheat beer,
,hard wheat beer,
,boiling hard wheat beer,
,hard wheat flour,
,frozen spelt beer,
,spelt beer,
,boiling spelt beer,
,spelt flour,
,frozen barley wine,
,barley wine,
,boiling barley wine,
,barley flour,
,frozen buckwheat beer,
,buckwheat beer,
,boiling buckwheat beer,
,buckwheat flour,
,flower,
,oat flour,
,frozen rye beer,
,rye beer,
,boiling rye beer,
,rye flour,
,frozen sorghum beer,
,sorghum beer,
,boiling sorghum beer,
,sorghum flour,
,frozen rice beer,
,rice beer,
,boiling rice beer,
,rice flour,
,frozen maize beer,
,maize beer,
,boiling maize beer,
,maize flour,
,frozen quinoa beer,
,quinoa beer,
,boiling quinoa beer,
,quinoa flour,
,frozen kaniwa beer,
,kaniwa beer,
,boiling kaniwa beer,
,kaniwa flour,
,frozen pendant amaranth beer,
,pendant amaranth beer,
,boiling pendant amaranth beer,
,pendant amaranth flour,
,frozen blood amaranth beer,
,blood amaranth beer,
,boiling blood amaranth beer,
,blood amaranth flour,
,frozen purple amaranth beer,
,purple amaranth beer,
,boiling purple amaranth beer,
,purple amaranth flour,
,frozen pearl millet beer,
,pearl millet beer,
,boiling pearl millet beer,
,pearl millet flour,
,frozen white millet beer,
,white millet beer,
,boiling white millet beer,
,white millet flour,
,frozen finger millet beer,
,finger millet beer,
,boiling finger millet beer,
,finger millet flour,
,frozen foxtail millet beer,
,foxtail millet beer,
,boiling foxtail millet beer,
,foxtail millet flour,
,frozen fonio beer,
,fonio beer,
,boiling fonio beer,
,fonio flour,
,frozen teff beer,
,teff beer,
,boiling teff beer,
,teff flour,
,frozen linseed oil,
,linseed oil,
,boiling linseed oil,
,linseed oil soap,
,melted linseed oil soap,
,flax flour,
,flax seed,
,flax seed paste,
,flax seed press cake,
,linen,
,fiber,
,linen slurry,
,linen paper,
,jute,
,jute slurry,
,jute paper,
,frozen hempseed oil,
,hempseed oil,
,boiling hempseed oil,
,hempseed oil soap,
,melted hempseed oil soap,
,hemp flour,
,hemp seed,
,hemp seed paste,
,hemp seed press cake,
,hemp,
,hemp slurry,
,hemp paper,
,frozen cottonseed oil,
,cottonseed oil,
,boiling cottonseed oil,
,cottonseed oil soap,
,melted cottonseed oil soap,
,cotton seed,
,cotton seed paste,
,cotton seed press cake,
,cotton,
,cotton slurry,
,cotton paper,
,ramie,
,ramie slurry,
,ramie paper,
,frozen kenaf seed oil,
,kenaf seed oil,
,boiling kenaf seed oil,
,kenaf seed oil soap,
,melted kenaf seed oil soap,
,kenaf seed,
,kenaf seed paste,
,kenaf seed press cake,
,kenaf,
,kenaf slurry,
,kenaf paper,
,papyrus,
,frozen artichoke wine,
,artichoke wine,
,boiling artichoke wine,
,fruit,
,frozen beetroot wine,
,beetroot wine,
,boiling beetroot wine,
,bud,
,frozen carrot wine,
,carrot wine,
,boiling carrot wine,
,frozen cassava beer,
,cassava beer,
,boiling cassava beer,
,frozen parsnip wine,
,parsnip wine,
,boiling parsnip wine,
,frozen potato wine,
,potato wine,
,boiling potato wine,
,frozen radish wine,
,radish wine,
,boiling radish wine,
,frozen sweet potato wine,
,sweet potato wine,
,boiling sweet potato wine,
,frozen tomato wine,
,tomato wine,
,boiling tomato wine,
,frozen tomatillo wine,
,tomatillo wine,
,boiling tomatillo wine,
,frozen turnip wine,
,turnip wine,
,boiling turnip wine,
,frozen passion fruit wine,
,passion fruit wine,
,boiling passion fruit wine,
,frozen wine,
,wine,
,boiling wine,
,frozen cranberry wine,
,cranberry wine,
,boiling cranberry wine,
,frozen bilberry wine,
,bilberry wine,
,boiling bilberry wine,
,frozen blueberry wine,
,blueberry wine,
,boiling blueberry wine,
,frozen blackberry wine,
,blackberry wine,
,boiling blackberry wine,
,frozen raspberry wine,
,raspberry wine,
,boiling raspberry wine,
,frozen pineapple wine,
,pineapple wine,
,boiling pineapple wine,
,frozen banana beer,
,banana beer,
,boiling banana beer,
,carambola wood,
,frozen carambola wine,
,carambola wine,
,boiling carambola wine,
,cashew wood,
,coffee wood,
,durian wood,
,frozen durian wine,
,durian wine,
,boiling durian wine,
,guava wood,
,frozen guava wine,
,guava wine,
,boiling guava wine,
,papaya wood,
,frozen papaya wine,
,papaya wine,
,boiling papaya wine,
,paradise nut wood,
,rambutan wood,
,frozen rambutan wine,
,rambutan wine,
,boiling rambutan wine,
,tea wood,
,avocado wood,
,lime wood,
,pomelo wood,
,citron wood,
,orange wood,
,bitter orange wood,
,finger lime wood,
,round lime wood,
,desert lime wood,
,kumquat wood,
,custard-apple wood,
,frozen custard-apple cider,
,custard-apple cider,
,boiling custard-apple cider,
,date palm wood,
,frozen date wine,
,date wine,
,boiling date wine,
,lychee wood,
,frozen lychee wine,
,lychee wine,
,boiling lychee wine,
,macadamia wood,
,frozen olive oil,
,olive oil,
,boiling olive oil,
,olive oil soap,
,melted olive oil soap,
,olive wood,
,olive fruit,
,olive pomace,
,pomegranate wood,
,frozen pomegranate wine,
,pomegranate wine,
,boiling pomegranate wine,
,almond wood,
,apple wood,
,frozen apple cider,
,apple cider,
,boiling apple cider,
,apricot wood,
,frozen apricot wine,
,apricot wine,
,boiling apricot wine,
,bayberry wood,
,frozen bayberry wine,
,bayberry wine,
,boiling bayberry wine,
,cherry wood,
,frozen cherry wine,
,cherry wine,
,boiling cherry wine,
,ginkgo wood,
,hazel wood,
,peach wood,
,frozen peach cider,
,peach cider,
,boiling peach cider,
,pear wood,
,frozen perry,
,perry,
,boiling perry,
,pecan wood,
,persimmon wood,
,frozen persimmon wine,
,persimmon wine,
,boiling persimmon wine,
,plum wood,
,frozen plum wine,
,plum wine,
,boiling plum wine,
,sand pear wood,
,frozen sand pear cider,
,sand pear cider,
,boiling sand pear cider,
,walnut wood,
,mushroom,
,frozen dwarven wine,
,dwarven wine,
,boiling dwarven wine,
,frozen dwarven ale,
,dwarven ale,
,boiling dwarven ale,
,pig tail,
,pig tail slurry,
,pig tail paper,
,frozen dwarven beer,
,dwarven beer,
,boiling dwarven beer,
,dwarven wheat flour,
,frozen dwarven rum,
,dwarven rum,
,boiling dwarven rum,
,dwarven sugar,
,frozen dwarven syrup,
,dwarven syrup,
,boiling dwarven syrup,
,frozen rock nut oil,
,rock nut oil,
,boiling rock nut oil,
,rock nut soap,
,melted rock nut soap,
,rock nut,
,rock nut paste,
,rock nut press cake,
,frozen swamp whiskey,
,swamp whiskey,
,boiling swamp whiskey,
,frozen tuber beer,
,tuber beer,
,boiling tuber beer,
,frozen gnomeblight,
,gnomeblight,
,boiling gnomeblight,
,frozen prickle berry wine,
,prickle berry wine,
,boiling prickle berry wine,
,frozen strawberry wine,
,strawberry wine,
,boiling strawberry wine,
,frozen Longland beer,
,Longland beer,
,boiling Longland beer,
,Longland flour,
,frozen golden salve,
,golden salve,
,boiling golden salve,
,frozen sewer brew,
,sewer brew,
,boiling sewer brew,
,frozen fisher berry wine,
,fisher berry wine,
,boiling fisher berry wine,
,frozen river spirits,
,river spirits,
,boiling river spirits,
,rope reed,
,rope reed slurry,
,rope reed paper,
,dimple dye,
,emerald dye,
,redroot dye,
,frozen gutter cruor,
,gutter cruor,
,boiling gutter cruor,
,sliver dye,
,frozen sunshine,
,sunshine,
,boiling sunshine,
,frozen whip wine,
,whip wine,
,boiling whip wine,
,whip vine flour,
,mangrove,
saguaro rib wood,saguaro rib,
,pine,
,cedar,
oak,oaken,
,mahogany,
,acacia,
,kapok,
,maple,
,willow,
,tower-cap,
,black-cap,
,nether-cap,
,goblin-cap,
,fungiwood,
,tunnel tube,
,spore tree,
,blood thorn,
,glumprong,
,feather wood,
,highwood,
,larch,
,chestnut,
,alder,
birch,birchen,
ash,ashen,
,candlenut,
,mango wood,
,frozen mango wine,
,mango wine,
,boiling mango wine,
,rubber wood,
,cacao wood,
,coconut palm,
