help_id,help_name,section_id,title,title_translation,document,document_translation
4,START_TUTORIAL_MINING,3,,,"Let's make a safe place to work.  Select [C:5:0:1]Regular Mining[C:7:0:0] mode, to the left of [C:5:0:1]Stair Mining[C:7:0:0] mode.[B]Dig a rectangle underground big enough for a large [C:6:0:0]Stockpile[C:7:0:0] and some [C:6:0:0]Workshops[C:7:0:0].  Consider that most [C:6:0:0]Workshops[C:7:0:0] are 3x3 squares.  Mining through the stone layers further down may take longer, but it leaves [C:6:0:1]Boulders[C:7:0:0] which are an essential building material.[B]Later you can consider making a [C:3:0:0]Meeting Area[C:7:0:0] from the [C:5:0:1]Zones[C:7:0:0] menu. Otherwise your citizens will continue to gather by the [C:6:0:0]Wagon[C:7:0:0] outside.",接下来让我们创建一个安全的工作区域。 选择[C:5:0:1]常规挖掘[C:7:0:0]模式，在[C:5:0:1]楼梯挖掘[C:7:0:0]模式的左侧。[B]然后在地下给[C:6:0:0]储物处[C:7:0:0]和[C:6:0:0]工坊[C:7:0:0]挖掘一个足够大的矩形区域。  请注意大多数[C:6:0:0]工坊[C:7:0:0]都是 3x3 格子的大小。  开挖更深的岩层虽然可能会花费更长的世界，但是挖开后会留下作为重要的建筑材料的[C:6:0:1]石材[C:7:0:0]。[B]稍后你可以考虑从[C:5:0:1]区划[C:7:0:0]菜单中圈选一个[C:3:0:0]集会区域[C:7:0:0]。否则你的矮人将继续在外面的[C:6:0:0]马车[C:7:0:0]附近聚集。
5,START_TUTORIAL_STOCKPILES,0,Stockpiles,储物处,The supplies on the wagon are in danger of being carried off by wild creatures!  It's time to build a [C:6:0:0]Stockpile[C:7:0:0] underground to unload them.  [C:6:0:0]Stockpiles[C:7:0:0] are crucial to moving supplies around your fortress where they are needed.[B][C:6:0:0]Stockpiles[C:7:0:0] are placed with the [C:5:0:1]Stockpile[C:7:0:0] button (highlighted.)  Click it now.,马车上的物资有被野外生物抢走的风险！  是时候在地下建造一个[C:6:0:0]储物处[C:7:0:0]并开始卸货了。  [C:6:0:0]储物处[C:7:0:0]对于在要塞中配给物资到需要的地方至关重要。[B]你可以通过点击[C:5:0:1]储物处[C:7:0:0]按钮（已高亮）来圈选一个[C:6:0:0]储物处[C:7:0:0]。  下面请先点击这个按钮。
5,START_TUTORIAL_STOCKPILES,1,,,"Click the add button, and click two corners of a rectangle somewhere safe to place your pile.  [C:6:0:0]Stockpiles[C:7:0:0] can be placed both on the surface and underground.  Once the pile is placed, click [C:5:0:1]Accept[C:7:0:0] and select the [C:5:0:1]All[C:7:0:0] option.",点击菜单中带有加号的按钮，然后在一个安全的矩形区域依次点击两个角来圈选你的储物处的规划位置。  [C:6:0:0]储物处[C:7:0:0]既可以规划在地表也可以规划在地下。  在你完成规划后，点击[C:5:0:1]接受[C:7:0:0]并选择[C:5:0:1]所有[C:7:0:0]选项。
5,START_TUTORIAL_STOCKPILES,2,,,"If unpaused, your workers should start unloading the wagon into the [C:6:0:0]Stockpile[C:7:0:0].  [B]Later you may want to customize your [C:6:0:0]Stockpiles[C:7:0:0] by clicking on them and pressing the [C:5:0:1]Custom[C:7:0:0] button to forbid certain categories, like [C:5:0:1]Refuse[C:7:0:0] for example.  A separate [C:6:0:0]Refuse Stockpile[C:7:0:0] is a good idea to keep your fortress clean.[B]If the [C:5:0:1]Stockpile[C:7:0:0] menu is still open, you can close it now by right-clicking.  Right-clicking can always be used to close most menus, as well as [KEY:3].",在解除暂停后，你的工人应该会开始从马车上卸货并搬到[C:6:0:0]储物处[C:7:0:0]中。  [B]以后你可能会想要自定义你的[C:6:0:0]储物处[C:7:0:0]，你可以点击一个规划好的[C:6:0:0]储物处[C:7:0:0]然后点击[C:5:0:1]自定义[C:7:0:0]按钮来禁止某些类别的物资，比方说[C:5:0:1]垃圾[C:7:0:0]。  设置一个单独的[C:6:0:0]垃圾储物处[C:7:0:0]通常是保持你要塞整洁的一个好主意。[B]如果现在[C:5:0:1]储物处[C:7:0:0]的菜单仍然开着，你可以通过鼠标右键关闭它了。  鼠标右键通常可以关闭绝大多数菜单，当然你也可以使用键盘上的 [KEY:3] 键。
6,START_TUTORIAL_CHOPPING,0,Woodcutting,伐木,"With shelter ready underground, it's time to build.  First you need building materials, like [C:6:0:1]Wood[C:7:0:0] or [C:6:0:1]Boulders[C:7:0:0].  [B]Before you start chopping down trees you may want to create a dedicated [C:6:0:0]Wood Stockpile[C:7:0:0].  [C:2:0:0]Haulers[C:7:0:0] will also drop [C:6:0:1]Wood[C:7:0:0] in your [C:6:0:0]All Stockpile[C:7:0:0] unless you turn it off in the [C:5:0:1]Custom Stockpile Menu[C:7:0:0].[B]When you are ready, open the [C:5:0:1]Woodcutting[C:7:0:0] menu and designate the trunk of a tree on the surface.  Make sure your woodcutter can walk to the designated location.",当你地下的基地准备好后，就可以开始扩建了。  首先你需要收集些建筑材料，比如[C:6:0:1]木材[C:7:0:0]或[C:6:0:1]石材[C:7:0:0]。  [B]在你开始砍你可能想要创建一个独立的[C:6:0:0]木材储物处[C:7:0:0]。  除非你在[C:6:0:0]全部储物处[C:7:0:0]的[C:5:0:1]自定义储物处菜单[C:7:0:0]中关闭[C:6:0:1]木材[C:7:0:0]选项，否则[C:2:0:0]搬运工[C:7:0:0]也可能会将掉落的[C:6:0:1]木材[C:7:0:0]放入其中。[B]当你准备好后，打开[C:5:0:1]伐木[C:7:0:0]菜单并指定地面上一棵树的树干。  请确保你的伐木工能够走到你所指定的位置。
6,START_TUTORIAL_CHOPPING,1,,,"Now we just need to wait for the woodcutter to chop down the tree.  If the fallen logs are accessible, everyone will help store them in the [C:6:0:0]Stockpile[C:7:0:0].  [B]You can right click to close [C:5:0:1]Woodcutting[C:7:0:0] mode.  Right clicking closes most menus.[B]If all of your [C:6:0:0]Stockpiles[C:7:0:0] are full, go ahead and place another one.",现在我们只需等待伐木工砍倒树木。  如果木材掉落在了矮人可以触及的地方，每个矮人都可以帮忙将它们搬运到规划好的[C:6:0:0]储物处[C:7:0:0]中。  [B]你可以通过鼠标右键关闭[C:5:0:1]伐木[C:7:0:0]模式。  别忘了鼠标右键通常可以关闭绝大多数菜单。[B]如果你的所有的[C:6:0:0]储物处[C:7:0:0]都满了，可以再规划一个。
7,START_TUTORIAL_WORKSHOPS_AND_TASKS,0,Building,建筑与建造,Now that you have the building materials it's time to start building.  [B][C:6:0:0]Workshops[C:7:0:0] are one of many buildings you can place with the highlighted [C:5:0:1]Build[C:7:0:0] button.  Click it now.,现在你已经有了需要的建筑材料，开始造吧。  [B][C:6:0:0]工坊[C:7:0:0]是你可以通过闪烁的[C:5:0:1]建造[C:7:0:0]按钮规划的众多建筑之一。  下面请先点击这个按钮。
7,START_TUTORIAL_WORKSHOPS_AND_TASKS,1,,,"Most [C:6:0:0]Workshops[C:7:0:0] require building material, such as [C:6:0:1]Wood[C:7:0:0] or [C:6:0:1]Boulders[C:7:0:0].  If you have some [C:6:0:1]Wood[C:7:0:0] stockpiled, you'll be able to place a [C:6:0:0]Carpenter's Workshop[C:7:0:0].  Click [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Carpenter[C:7:0:0] and place the shop in an empty area on the surface or underground.",大多数[C:6:0:0]工坊[C:7:0:0]需要建筑材料，例如[C:6:0:1]木材[C:7:0:0]或[C:6:0:1]石材[C:7:0:0]。  如果你有一些[C:6:0:1]木材[C:7:0:0]储备，你就可以规划建造一个[C:6:0:0]木匠工坊[C:7:0:0]。  点击[C:5:0:1]工坊[C:7:0:0] -> [C:5:0:1]木匠[C:7:0:0]然后在地表或地下的空地规划建造这个工坊。
7,START_TUTORIAL_WORKSHOPS_AND_TASKS,2,,,"When unpaused, a worker should now build the [C:6:0:0]Workshop[C:7:0:0].[B]Once the worker is done, click on the building to select it.",在解除暂停后，工人应该会开始建造这个[C:6:0:0]工坊[C:7:0:0]。[B]当工人完成建造后，点击这个建筑以选中它。
7,START_TUTORIAL_WORKSHOPS_AND_TASKS,3,,,"Your industrious citizens will perform any task added to the [C:6:0:0]Workshop[C:7:0:0].  Most objects that are placed, like [C:6:0:1]Doors[C:7:0:0] and [C:6:0:1]Furniture[C:7:0:0], must first be built in a [C:6:0:0]Workshop[C:7:0:0].  [B][C:6:0:1]Furniture[C:7:0:0] created at the [C:6:0:0]Carpenter's Workshop[C:7:0:0] usually takes one [C:6:0:1]Wood[C:7:0:0] to build.  Add a task and make a [C:6:0:1]Bed[C:7:0:0].  Chop down more trees if necessary.  Unpause and wait for the [C:6:0:1]Bed[C:7:0:0] to be completed.",你勤劳的矮人将会执行添加到[C:6:0:0]工坊[C:7:0:0]的任何任务。  大多数像[C:6:0:1]门[C:7:0:0]和[C:6:0:1]家具[C:7:0:0]这样的可以放置的物品必须先在[C:6:0:0]工坊[C:7:0:0]中制作。  [B]在[C:6:0:0]木匠工坊[C:7:0:0]中，[C:6:0:1]家具[C:7:0:0]通常需要一块[C:6:0:1]木材[C:7:0:0]来制作。  现在添加一个制作[C:6:0:1]床[C:7:0:0]的任务。  如有需要，继续砍伐更多树木。  解除暂停并等待[C:6:0:1]床[C:7:0:0]制作完成。
7,START_TUTORIAL_WORKSHOPS_AND_TASKS,4,,,"Now that you have a [C:6:0:1]Bed[C:7:0:0] you can place in it the fortress.  Use the [C:5:0:1]Build[C:7:0:0] menu to place it in a room underground, just like the [C:6:0:0]Workshop[C:7:0:0].  Dig a new room first if you like.  [B][C:5:0:1]Beds[C:7:0:0] are found in the [C:5:0:1]Furniture[C:7:0:0] category.  Unlike [C:6:0:0]Workshops[C:7:0:0], [C:6:0:0]Beds[C:7:0:0] must be placed underground.",现在你已经制作好了一张可以放置在要塞中的[C:6:0:1]床[C:7:0:0]。  使用[C:5:0:1]建造[C:7:0:0]菜单像规划[C:6:0:0]工坊[C:7:0:0]那样将它放置在地下的房间中。  如果愿意你可以先挖一个新的房间。  [B][C:5:0:1]床[C:7:0:0]可以在[C:5:0:1]家具[C:7:0:0]类别中找到。  与[C:6:0:0]工坊[C:7:0:0]不同，[C:6:0:0]床[C:7:0:0]必须放置在地下。
7,START_TUTORIAL_WORKSHOPS_AND_TASKS,5,,,"With a [C:6:0:0]Bed[C:7:0:0] placed, your workers will have somewhere to sleep.  Later you can create a room with a [C:6:0:0]Door[C:7:0:0] and use the [C:5:0:1]Zones[C:7:0:0] menu to assign an official [C:3:0:0]Bedroom[C:7:0:0] for each resident.",在放置好了[C:6:0:0]床[C:7:0:0]以后，你的工人们就有了睡觉的地方了。  以后你可以建造一个带[C:6:0:0]门[C:7:0:0]的房间并使用[C:5:0:1]区划[C:7:0:0]菜单给每个矮人都分配一个正式的[C:3:0:0]卧室[C:7:0:0]。
8,START_TUTORIAL_SHEETS,0,Information sheets,信息窗口,"The rest of the interface is now enabled.[B]You can click on [C:2:0:0]Creatures[C:7:0:0] and [C:6:0:1]Items[C:7:0:0] just as you can click on [C:6:0:0]Buildings[C:7:0:0] to get more information about them. Click on a [C:2:0:0]Resident[C:7:0:0] to see their needs, inventory, thoughts, relations, and more. You can also access information from the [C:5:0:1]Citizens[C:7:0:0] button.",其余的界面现在已经启用了。[B]你可以像点击[C:6:0:0]建筑[C:7:0:0]一样点击[C:2:0:0]生物[C:7:0:0]和[C:6:0:1]物品[C:7:0:0]来获取它们的更多信息。点击一位[C:2:0:0]居民[C:7:0:0]以查看他们的需求、库存、想法、关系等。你也可以通过[C:5:0:1]公民[C:7:0:0]按钮访问这些信息。
8,START_TUTORIAL_SHEETS,0*,,,"You can click on [C:2:0:0]Creatures[C:7:0:0] and [C:6:0:1]Items[C:7:0:0] just as you can click on [C:6:0:0]Buildings[C:7:0:0] to get more information about them. Click on a [C:2:0:0]Resident[C:7:0:0] to see their needs, inventory, thoughts, relations, and more. You can also access information from the [C:5:0:1]Citizens[C:7:0:0] button.",你可以像点击[C:6:0:0]建筑[C:7:0:0]一样点击[C:2:0:0]生物[C:7:0:0]和[C:6:0:1]物品[C:7:0:0]来获取它们的更多信息。点击一位[C:2:0:0]居民[C:7:0:0]以查看他们的需求、库存、想法、关系等。你也可以通过[C:5:0:1]公民[C:7:0:0]按钮访问这些信息。
8,START_TUTORIAL_SHEETS,1,,,Feel free to pause and check out the information.[B]Right click to dismiss the information sheet.,你可以随时暂停游戏来查看这些信息。[B]点击鼠标右键以关闭信息窗口。
9,START_TUTORIAL_ALERTS,0,Alerts,警报,"Important and sometimes urgent information is given as alerts on the left side of the screen. There has been one already![B]Hover over an alert icon to see the information. Left click on an alert for recentering options, and right click to dismiss an alert.",重要和有些紧急的信息将会以警报的形式显示在屏幕左侧。有一个警报已经出现了！[B]你可以将鼠标悬停在警报图标上以查看详情，左键点击警报后可以展示用来定位来源的按钮，右键点击警报则可以关闭它。
9,START_TUTORIAL_ALERTS,0*,,,"Important and sometimes urgent information is given as alerts on the left side of the screen. There have been several already![B]Hover over an alert icon to see the information. Left click on an alert for recentering options, and right click to dismiss an alert.",重要和有些紧急的信息将会以警报的形式显示在屏幕左侧。有几个警报已经出现了！[B]你可以将鼠标悬停在警报图标上以查看详情，左键点击警报后可以展示用来定位来源的按钮，右键点击警报则可以关闭它。
10,START_TUTORIAL_PREPARING_FOR_CARAVAN,0,Preparing for the Caravan,迎接商队,"You may need supplies before the coming of winter. To trade with the autumn caravan, you must build a [C:6:0:0]Trade Depot[C:7:0:0] from the [C:5:0:1]Build[C:7:0:0] menu.[B]You need something of value to trade. [C:6:0:1]Crafts[C:7:0:0] are an easy way to make a lot of trade goods quickly. Make the appropriate workshop with [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Crafts[C:7:0:0]. [B]An obvious material to use to make the crafts is rock. If you dig down enough layers you will find a near infinite amount of [C:6:0:1]Boulders[C:7:0:0] of various kinds as well as some [C:6:0:1]Rough Gems[C:7:0:0] if you are lucky.[B][C:6:0:1]Gems[C:7:0:0] can be [C:3:0:1]Cut[C:7:0:0] at the [C:6:0:0]Jeweler's Workshop[C:7:0:0].  [C:3:0:1]Encrust[C:7:0:0] them on [C:6:0:1]Crafts[C:7:0:0] and other items to add even more value.",在冬季到来之前你可能需要屯些物资。要与秋季商队进行交易，你必须从[C:5:0:1]建造[C:7:0:0]菜单中建造一个[C:6:0:0]贸易站[C:7:0:0]。[B]你需要一些有价值的物品来进行交易。[C:6:0:1]工艺品[C:7:0:0]是快速制作大量交易用商品的简单方法。使用[C:5:0:1]工坊[C:7:0:0] -> [C:5:0:1]工艺品[C:7:0:0]来建造制作工艺品的工坊。[B]石头是一种可以用来制作工艺品显而易见的材料。如果你挖的足够深，你将会找到近乎无限量的各种类型的[C:6:0:1]石材[C:7:0:0]，如果够幸运的话你还可以找到一些[C:6:0:1]粗制的宝石[C:7:0:0]。[B][C:6:0:1]宝石[C:7:0:0]可以在[C:6:0:0]珠宝工坊[C:7:0:0]中进行[C:3:0:1]切割[C:7:0:0]。  将它们[C:3:0:1]镶嵌[C:7:0:0]到[C:6:0:1]工艺品[C:7:0:0]和其他物品上可以进一步增加它们的价值。
11,DONE_WITH_FIRST_STEPS_MESSAGE,0,Just the beginning,一切才刚刚开始,"There's a lot more to learn![B]As you enter new menus, there will be information and tips.[B]The [C:5:0:1]Help[C:7:0:0] button at the top of the screen contains more guides. Click it now, and this tutorial will be concluded.",这还有很多知识需要你学习！[B]当你进入一些新菜单时，可能会有信息和提示出现。[B]屏幕顶部的[C:5:0:1]帮助[C:7:0:0]按钮中包含了更多的指引。现在点击它，然后这个教程到此就结束了。
12,POPUP_ZONES,0,Zones,功能区,"[C:3:0:0]Zones[C:7:0:0] are areas you designate where your citizens will work, socialize, rest, or perform specific duties. There are several kinds of [C:3:0:0]Zones[C:7:0:0], which you can see in the panel on the left.[B][C:3:0:0]Zones[C:7:0:0] are placed much like [C:6:0:0]Stockpiles[C:7:0:0]. Unlike [C:6:0:0]Stockpiles[C:7:0:0], multiple [C:3:0:0]Zones[C:7:0:0] can overlap.[B]Certain [C:3:0:0]Zones[C:7:0:0] like [C:3:0:0]Bedrooms[C:7:0:0] can be placed several at a time. Just make sure you have the correct [C:6:0:0]Furniture[C:7:0:0] placed in the rooms with [C:6:0:0]Doors[C:7:0:0] or vertical entries separating each room before you begin.","[C:3:0:0]功能区[C:7:0:0]是由你指定的让你的公民工作、社交、休息或履行特定职能的场所。[C:3:0:0]功能区[C:7:0:0]有许多不同种类，你可以在左侧的面板中查看。[B][C:3:0:0]功能区[C:7:0:0]放置起来很像[C:6:0:0]储存区[C:7:0:0]。不同于[C:6:0:0]储存区[C:7:0:0]的是, 多个[C:3:0:0]功能区[C:7:0:0]可以相互重叠。[B]特定的[C:3:0:0]功能区[C:7:0:0]如 [C:3:0:0]卧室[C:7:0:0]可以一次性放置好几个。只要你确保房间内放置有正确的[C:6:0:0]家具[C:7:0:0]，并配有[C:6:0:0]门[C:7:0:0]，或是用垂直方向的出入口分隔出了要划分的各个房间。"
13,POPUP_BURROWS,0,Burrows,活动区,"[C:1:0:0]Burrows[C:7:0:0] are work and living areas where citizens can be assigned. Workers will try to limit their tasks to the confines of the [C:1:0:0]Burrow[C:7:0:0], but they will sometimes form paths which pass through other areas.[B][C:1:0:0]Burrows[C:7:0:0] can be suspended and unsuspended freely.  When a [C:1:0:0]Burrow[C:7:0:0] is suspended, assigned citizens will ignore it.[B]It can be useful to assign all of your civilians to a safe emergency [C:1:0:0]Burrow[C:7:0:0] which you activate in case of intruders.",[C:1:0:0]活动区[C:7:0:0]是可以指定给矮人公民工作和生活的区域。矮人们会试图将他们的任务限制在[C:1:0:0]活动区[C:7:0:0]的范围内进行，但他们有时会采用活动区以外区域的路径。[B][C:1:0:0]活动区[C:7:0:0]可以自由地停用和启用。  当[C:1:0:0]活动区[C:7:0:0]被停用时，被指定到此区的矮人将无视它的限制。[B]把所有的平民指定到一个安全的[C:1:0:0]活动区[C:7:0:0]会很有用，你可以在诸如入侵者出现等紧急情况时启用。
14,POPUP_HAULING,0,Minecart routes,矿车、轨道与路线,"[C:6:0:1]Minecarts[C:7:0:0] and [C:6:0:0]Tracks[C:7:0:0] are a convenient way to move a lot of objects around the fortress quickly, though they take a little effort to prepare. One [C:6:0:1]Minecart[C:7:0:0] can be assigned to each route, and workers will move the vehicle from [C:6:0:0]Track Stop[C:7:0:0] to [C:6:0:0]Track Stop[C:7:0:0] according to conditions you specify.[B]Each [C:6:0:0]Track Stop[C:7:0:0] must be linked to a [C:6:0:0]Stockpile[C:7:0:0] for [C:6:0:1]Items[C:7:0:0] to be put on or removed from the [C:6:0:1]Minecart[C:7:0:0].[B]Only one condition needs to be satisfied for the [C:6:0:1]Minecart[C:7:0:0] to move to the next [C:6:0:0]Track Stop[C:7:0:0].[B][C:6:0:1]Minecarts[C:7:0:0] that move too quickly around corners will spill their contents. When a route has a steep descent, consider using powered [C:6:0:0]Rollers[C:7:0:0], extra curves, track ""stops"" between [C:6:0:0]Stops[C:7:0:0] with various friction settings, or a worker to guide the vehicle.",[C:6:0:1]矿车[C:7:0:0]和[C:6:0:0]轨道[C:7:0:0]是快速在要塞各处间移动大量物体的便捷方式，尽管它们需要花一点功夫准备。每条路线可以分配一辆[C:6:0:1]矿车[C:7:0:0]，工人将根据您指定的条件将矿车从一个[C:6:0:0]轨道站点[C:7:0:0]移动到另一个[C:6:0:0]轨道站点[C:7:0:0]（可以是同一个）。[B]每个[C:6:0:0]轨道站点[C:7:0:0]必须链接到一个[C:6:0:0]储物处[C:7:0:0]，以便[C:6:0:1]物品[C:7:0:0]可以装载到[C:6:0:1]矿车[C:7:0:0]中或从[C:6:0:1]矿车[C:7:0:0]中卸货。[B]只需设置一个条件以让[C:6:0:1]矿车[C:7:0:0]在满足条件时移动到下一个[C:6:0:0]轨道站点[C:7:0:0]。[B][C:6:0:1]在拐角处移动过快的矿车[C:7:0:0]会洒出里面的东西。当路线有陡坡时，考虑使用有供能的[C:6:0:0]滚链[C:7:0:0]、额外的弯道、[C:6:0:0]轨道站点[C:7:0:0]之间只提供摩擦而不使矿车停留的“轨道站点”，或由工人引导车辆。
15,POPUP_STOCKS,0,Stocks,库存界面,"Here you can see every [C:6:0:1]Item[C:7:0:0] in the fortress. Click on category headings to collapse and expand them. [B]If you don't have a [C:5:0:0]Bookkeeper[C:7:0:0], or they don't have an [C:3:0:0]Office[C:7:0:0] to work in, numbers may be approximate.",在这里你可以看到要塞里的每一个[C:6:0:1]物品[C:7:0:0]。单击类别名以折叠或展开它们。[B]如果你没有[C:5:0:0]簿记员[C:7:0:0]，或者他们没有[C:3:0:0]办公室[C:7:0:0]可供工作，那么数字可能只是一个估值。
16,POPUP_WORK_DETAILS,0,Work details,工作细节,"Work details are one way you can control which workers do which tasks, and they are the only way to assign certain tasks like mining, woodcutting, hunting, and fishing. [B]Generally, almost every task will be available for every citizen, but you can both restrict both citizens and tasks. Citizens are restricted by using their [C:5:0:1]Specialization[C:7:0:0] button. Tasks are restricted by setting their work detail to [C:5:0:1]""Only selected do this""[C:7:0:0].[B]If a task does not have a default work detail, you can create a custom work detail.  Once you assign citizens to the task, you can then set [C:5:0:1]""Only selected do this""[C:7:0:0] if you want to restrict it.",工作细节界面是控制哪些工人执行哪些任务的其中一种方式，也是指定采矿、伐木、狩猎和捕鱼等特定任务的唯一方式。[B]一般来说，每个公民都可以做几乎所有任务，但从公民方和任务方都可以分别进行限制。公民可以使用[C:5:0:1]专业[C:7:0:0]按钮进行限制。任务可通过将其工作详细信息设置为[C:5:0:1]“只有被选择的公民可做”[C:7:0:0]进行限制。[B]如果任务没有默认工作详细信息，则可以创建自定义工作详细信息，在你将公民指定给该任务后，你就可以在你想限制该任务时设置为[C:5:0:1]“只有被选择的公民可做”[C:7:0:0]。
17,POPUP_NOBLES,0,Nobles and administrators,贵族、官员与职位分配,"Here you can view your nobles, as well as assign your administrators, military leaders, and other officials.[B][C:5:0:0]Militia Commanders[C:7:0:0] are assigned here. Once the first leader is assigned, subsequent [C:5:0:0]Captain[C:7:0:0] positions will appear. These can also be assigned from the squad menu.[B]Certain important functions in your fortress can only be performed by assigned administrators, such as the [C:5:0:0]Manager[C:7:0:0] and [C:5:0:0]Bookkeeper[C:7:0:0]. Once they are assigned, you can create work orders, run a [C:1:0:1]Hospital[C:7:0:0], and count and appraise your hoard.[B]Nobles and certain administrators require rooms, and some may also make demands.",在该界面，你可以查看你治下的贵族，并指定管理员、军队指挥官和其他官员。[B][C:5:0:0]军事指挥官[C:7:0:0]职位可以在这里分配。一旦分配了第一个指挥官，后续的[C:5:0:0]队长[C:7:0:0]职位将会出现，这些职位也可以在军事分队菜单中分配。[B]某些重要职能只能由分配好的管理员执行，比如[C:5:0:0]经理[C:7:0:0]和[C:5:0:0]记账员[C:7:0:0]。一旦他们被分配，你就可以创建工作订单、运转[C:1:0:1]医院[C:7:0:0]，以及统计和评估你的物资财富。[B]贵族和某些管理员需要专门的房间，有些人或职位可能还有额外的要求。
