filename,key,noun_all_solid,noun_all_solid_translation,noun_solid,noun_solid_translation,noun_powder,noun_powder_translation,noun_liquid,noun_liquid_translation,noun_gas,noun_gas_translation,adjective_all_solid,adjective_all_solid_translation,adjective_solid,adjective_solid_translation,adjective_powder,adjective_powder_translation,adjective_liquid,adjective_liquid_translation,adjective_gas,adjective_gas_translation
material_template_default,MATERIAL_TEMPLATE:HEART_TEMPLATE,heart tissue,心脏组织,,,,,,,,,heart tissue,心脏组织,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:LIVER_TEMPLATE,liver tissue,肝组织,,,,,,,,,liver tissue,肝组织,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:GUT_TEMPLATE,gut,内脏,,,,,,,,,gut,内脏,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:STOMACH_TEMPLATE,stomach tissue,胃组织,,,,,,,,,stomach tissue,胃组织,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:GIZZARD_TEMPLATE,gizzard tissue,砂囊组织,,,,,,,,,gizzard tissue,砂囊组织,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:PANCREAS_TEMPLATE,pancreatic tissue,胰腺组织,,,,,,,,,pancreatic tissue,胰腺组织,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:SPLEEN_TEMPLATE,spleen tissue,脾组织,,,,,,,,,spleen tissue,脾组织,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:KIDNEY_TEMPLATE,kidney tissue,肾组织,,,,,,,,,kidney tissue,肾组织,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:LEATHER_TEMPLATE,leather,皮革,,,,,,,,,leather,皮革,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:PARCHMENT_TEMPLATE,parchment,皮纸,,,,,,,,,parchment,皮纸,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:HORN_TEMPLATE,horn,角,,,,,,,,,horn,角,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:HOOF_TEMPLATE,hoof,蹄,,,,,,,,,hoof,蹄,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:PEARL_TEMPLATE,pearl,珍珠,,,,,,,,,pearl,珍珠,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:SILK_TEMPLATE,silk,丝,,,,,,,,,silk,丝,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:BLOOD_TEMPLATE,frozen blood,结冻血液,,,,,blood,血液,boiling blood,沸腾血液,frozen blood,结冻血液,,,,,blood,血液,boiling blood,沸腾血液
material_template_default,MATERIAL_TEMPLATE:ICHOR_TEMPLATE,frozen ichor,结冻浆液,,,,,ichor,浆液,boiling ichor,沸腾浆液,frozen ichor,结冻浆液,,,,,ichor,浆液,boiling ichor,沸腾浆液
material_template_default,MATERIAL_TEMPLATE:GOO_TEMPLATE,frozen goo,结冻粘液,,,,,goo,粘液,boiling goo,沸腾粘液,frozen goo,结冻粘液,,,,,goo,粘液,boiling goo,沸腾粘液
material_template_default,MATERIAL_TEMPLATE:SLIME_TEMPLATE,frozen slime,结冻凝胶,,,,,slime,凝胶,boiling slime,沸腾凝胶,frozen slime,结冻凝胶,,,,,slime,凝胶,boiling slime,沸腾凝胶
material_template_default,MATERIAL_TEMPLATE:PUS_TEMPLATE,frozen pus,结冻脓液,,,,,pus,脓液,boiling pus,沸腾脓液,frozen pus,结冻脓液,,,,,pus,脓液,boiling pus,沸腾脓液
material_template_default,MATERIAL_TEMPLATE:SHELL_TEMPLATE,shell,甲壳,,,,,,,,,shell,甲壳,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:SOAP_TEMPLATE,soap,肥皂,,,,,melted soap,融化肥皂,,,soap,肥皂,,,,,melted soap,融化肥皂,,
material_template_default,MATERIAL_TEMPLATE:TALLOW_TEMPLATE,tallow,油脂,,,,,melted tallow,融化油脂,,,tallow,油脂,,,,,melted tallow,融化油脂,,
material_template_default,MATERIAL_TEMPLATE:CHITIN_TEMPLATE,chitin,昆虫甲壳,,,,,,,,,chitin,昆虫甲壳,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:MILK_TEMPLATE,frozen milk,结冻牛奶,,,,,milk,奶,,,frozen milky,结冻牛奶,,,,,milky,奶,,
material_template_default,MATERIAL_TEMPLATE:CREATURE_CHEESE_TEMPLATE,cheese,奶酪,,,,,melted cheese,融化奶酪,,,cheesy,奶酪,,,,,melted cheesy,融化奶酪,,
material_template_default,MATERIAL_TEMPLATE:STRUCTURAL_PLANT_TEMPLATE,plant,植物,,,,,,,,,plant,植物,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:SEED_TEMPLATE,seed,种子,,,,,,,,,seed,种子,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:LEAF_TEMPLATE,leaf,叶片,,,,,,,,,leaf,叶片,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:FRUIT_TEMPLATE,fruit,果实,,,,,,,,,fruit,果实,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:BUD_TEMPLATE,bud,幼芽,,,,,,,,,bud,幼芽,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:MUSHROOM_TEMPLATE,mushroom,蘑菇,,,,,,,,,mushroom,蘑菇,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:FLOWER_TEMPLATE,flower,花朵,,,,,,,,,flower,花朵,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:THREAD_PLANT_TEMPLATE,fiber,纤维,,,,,,,,,fiber,纤维,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:PLANT_ALCOHOL_TEMPLATE,frozen alcohol,结冻酒水,,,,,alcohol,酒精,boiling alcohol,沸腾酒精,frozen alcohol,结冻酒水,,,,,alcohol,酒精,boiling alcohol,沸腾酒精
material_template_default,MATERIAL_TEMPLATE:PLANT_POWDER_TEMPLATE,plant powder,植物粉,,,,,,,,,plant powder,植物粉,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:PLANT_EXTRACT_TEMPLATE,frozen extract,结冻提取物,,,,,extract,提取物,boiling extract,沸腾提取物,frozen extract,结冻提取物,,,,,extract,提取物,boiling extract,沸腾提取物
material_template_default,MATERIAL_TEMPLATE:CREATURE_EXTRACT_TEMPLATE,frozen extract,结冻提取物,,,,,extract,提取物,boiling extract,提取物,frozen extract,结冻提取物,,,,,extract,提取物,boiling extract,提取物
material_template_default,MATERIAL_TEMPLATE:FLAME_TEMPLATE,,,,,,,,,flames,火苗,,,,,,,,,flames,火苗
material_template_default,MATERIAL_TEMPLATE:SOIL_TEMPLATE,soil,泥土,,,,,magma,岩浆,boiling magma,沸腾岩浆,soil,泥土,,,,,magma,岩浆,boiling magma,沸腾岩浆
material_template_default,MATERIAL_TEMPLATE:EGGSHELL_TEMPLATE,,,eggshell,蛋壳,eggshell powder,蛋壳粉,,,,,,,eggshell,蛋壳,eggshell powder,蛋壳粉末,,,,
material_template_default,MATERIAL_TEMPLATE:EGG_WHITE_TEMPLATE,frozen egg white,结冻蛋白,,,,,egg white,蛋清,boiling egg white,沸腾蛋清,frozen egg white,结冻蛋白,,,,,egg white,蛋清,boiling egg white,沸腾蛋清
material_template_default,MATERIAL_TEMPLATE:EGG_YOLK_TEMPLATE,frozen egg yolk,结冻蛋黄,,,,,egg yolk,蛋黄,boiling egg yolk,沸腾蛋黄,frozen egg yolk,结冻蛋黄,,,,,egg yolk,蛋黄,boiling egg yolk,沸腾蛋黄
material_template_default,MATERIAL_TEMPLATE:PLANT_OIL_TEMPLATE,frozen vegetable oil,结冻植物油,,,,,vegetable oil,植物油,boiling vegetable oil,沸腾植物油,frozen vegetable oil,结冻植物油,,,,,vegetable oil,植物油,boiling vegetable oil,沸腾植物油
material_template_default,MATERIAL_TEMPLATE:PLANT_SOAP_TEMPLATE,soap,肥皂,,,,,melted soap,融化肥皂,,,soap,肥皂,,,,,melted soap,融化肥皂,,
material_template_default,MATERIAL_TEMPLATE:WAX_TEMPLATE,wax,蜂蜡,,,,,melted wax,融化蜂蜡,,,wax,蜂蜡,,,,,melted wax,融化蜂蜡,,
material_template_default,MATERIAL_TEMPLATE:CREATURE_ALCOHOL_TEMPLATE,frozen alcohol,结冻酒水,,,,,alcohol,酒精,boiling alcohol,沸腾酒精,frozen alcohol,结冻酒水,,,,,alcohol,酒精,boiling alcohol,沸腾酒精
material_template_default,MATERIAL_TEMPLATE:LEATHERY_EGGSHELL_TEMPLATE,,,eggshell,蛋壳,eggshell powder,蛋壳粉,,,,,,,eggshell,蛋壳,eggshell powder,蛋壳粉末,,,,
material_template_default,MATERIAL_TEMPLATE:INK_TEMPLATE,frozen ink,结冻墨汁,,,,,ink,墨水,boiling ink,沸腾墨水,frozen ink,结冻墨汁,,,,,ink,墨水,boiling ink,沸腾墨水
material_template_default,MATERIAL_TEMPLATE:SPONGE_TEMPLATE,sponge,海绵,,,,,,,,,spongy,海绵,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:TEARS_TEMPLATE,frozen tears,结冻眼泪,,,,,tears,眼泪,boiling tears,沸腾眼泪,frozen tears,结冻眼泪,,,,,tears,眼泪,boiling tears,沸腾眼泪
material_template_default,MATERIAL_TEMPLATE:SPIT_TEMPLATE,frozen spit,结冻唾沫,,,,,spit,唾液,boiling spit,沸腾唾液,frozen spit,结冻唾液,,,,,spit,唾液,boiling spit,沸腾唾液
material_template_default,MATERIAL_TEMPLATE:SWEAT_TEMPLATE,frozen sweat,结冻汗液,,,,,sweat,汗液,boiling sweat,沸腾汗液,frozen sweat,结冻汗液,,,,,sweat,汗液,boiling sweat,沸腾汗液
